latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
44.59856,20.97928,299.33,0.59,0.53,2025-06-01,0117,N20,VIIRS,n,2.0NRT,283.83,1.32,N
43.27992,20.01636,333.89,0.4,0.44,2025-06-01,1102,N20,VIIRS,n,2.0NRT,293.13,2,D
44.2932,22.27437,332.7,0.46,0.39,2025-06-01,1102,N20,VIIRS,n,2.0NRT,292.58,3.48,D
43.18954,20.30738,329,0.39,0.44,2025-06-01,1102,N20,VIIRS,n,2.0NRT,294.4,2.38,D
44.07954,22.10185,295.07,0.66,0.73,2025-06-01,2318,N20,VIIRS,n,2.0NRT,284.66,0.98,N
44.0105,19.89119,300.07,0.51,0.41,2025-06-02,0100,N20,VIIRS,n,2.0NRT,283.15,1.01,N
44.60385,20.96856,300.41,0.54,0.42,2025-06-02,0100,N20,VIIRS,n,2.0NRT,286.63,1.75,N
44.08168,22.10327,299.87,0.41,0.45,2025-06-02,0100,N20,VIIRS,n,2.0NRT,285.28,1.39,N
43.90943,21.51171,297.22,0.39,0.44,2025-06-02,0100,N20,VIIRS,n,2.0NRT,285.53,0.54,N
45.6754,19.43684,306.06,0.38,0.36,2025-06-03,0039,N20,VIIRS,n,2.0NRT,287.67,0.45,N
44.59721,20.97407,298.02,0.39,0.36,2025-06-03,0039,N20,VIIRS,n,2.0NRT,284.38,0.21,N
44.08127,22.10458,308.73,0.42,0.38,2025-06-03,0039,N20,VIIRS,n,2.0NRT,288.66,0.96,N
43.90835,21.50995,298.15,0.41,0.37,2025-06-03,0039,N20,VIIRS,n,2.0NRT,287.04,0.47,N
44.01134,19.887,311.14,0.39,0.36,2025-06-03,0039,N20,VIIRS,n,2.0NRT,285.36,1.06,N
44.86282,20.86668,328.23,0.45,0.63,2025-06-03,1026,N20,VIIRS,l,2.0NRT,298.79,1.84,D
44.10614,22.41353,367,0.32,0.55,2025-06-03,1206,N20,VIIRS,h,2.0NRT,300.32,7.58,D
44.59837,20.97808,301.99,0.42,0.38,2025-06-04,0022,N20,VIIRS,n,2.0NRT,289.94,0.64,N
43.90907,21.51211,302.75,0.41,0.37,2025-06-04,0022,N20,VIIRS,n,2.0NRT,288.57,0.95,N
44.01205,19.89092,305.9,0.45,0.39,2025-06-04,0022,N20,VIIRS,n,2.0NRT,287.34,0.63,N
44.76654,19.72601,335.78,0.46,0.39,2025-06-04,1147,N20,VIIRS,n,2.0NRT,307.36,5.02,D
44.59778,20.97545,334.35,0.51,0.41,2025-06-04,1147,N20,VIIRS,l,2.0NRT,307.67,6.31,D
44.76524,19.72778,337.81,0.46,0.39,2025-06-04,1147,N20,VIIRS,n,2.0NRT,305.74,3.69,D
44.59956,20.97776,304.4,0.43,0.46,2025-06-05,0003,N20,VIIRS,n,2.0NRT,285.92,0.83,N
44.07985,22.10775,303.32,0.57,0.43,2025-06-05,0003,N20,VIIRS,n,2.0NRT,289.02,1.02,N
44.08155,22.10803,303.65,0.56,0.43,2025-06-05,0003,N20,VIIRS,n,2.0NRT,288.83,1.28,N
43.85854,21.09208,335.01,0.39,0.36,2025-06-05,1128,N20,VIIRS,n,2.0NRT,304.76,2.44,D
44.64275,20.95294,331.34,0.39,0.36,2025-06-05,1128,N20,VIIRS,l,2.0NRT,303.98,1.54,D
43.33975,21.77771,330.92,0.44,0.38,2025-06-06,1108,N20,VIIRS,l,2.0NRT,305.68,1.51,D
43.7723,21.90897,330.31,0.43,0.38,2025-06-06,1108,N20,VIIRS,l,2.0NRT,302.56,5.21,D
44.08286,22.10392,299.95,0.55,0.68,2025-06-06,2326,N20,VIIRS,n,2.0NRT,287.94,0.79,N
44.08145,22.10615,303.66,0.49,0.49,2025-06-07,0105,N20,VIIRS,n,2.0NRT,289.21,1.11,N
43.91042,21.51356,299.12,0.46,0.47,2025-06-07,0105,N20,VIIRS,n,2.0NRT,288.84,0.28,N
45.13922,19.20525,306.8,0.52,0.42,2025-06-07,0107,N20,VIIRS,n,2.0NRT,289.21,0.99,N
44.60098,20.97779,300.97,0.42,0.45,2025-06-07,0107,N20,VIIRS,n,2.0NRT,289.95,0.9,N
44.60007,20.97845,322.31,0.42,0.38,2025-06-08,0045,N20,VIIRS,n,2.0NRT,291.78,2.04,N
44.07964,22.10262,299,0.47,0.39,2025-06-08,0045,N20,VIIRS,n,2.0NRT,288.62,1.6,N
43.9083,21.51188,302.99,0.45,0.39,2025-06-08,0048,N20,VIIRS,n,2.0NRT,290.77,0.77,N
44.01103,19.88999,308.45,0.41,0.37,2025-06-08,0048,N20,VIIRS,n,2.0NRT,288.59,1.04,N
44.01231,19.88779,302.39,0.41,0.37,2025-06-09,0028,N20,VIIRS,n,2.0NRT,287.79,0.72,N
44.08195,22.10531,308.96,0.38,0.36,2025-06-09,0028,N20,VIIRS,n,2.0NRT,292.93,1.23,N
43.90998,21.51058,301.56,0.39,0.36,2025-06-09,0028,N20,VIIRS,n,2.0NRT,290.27,0.52,N
44.59869,20.98078,331.01,0.39,0.44,2025-06-09,1151,N20,VIIRS,l,2.0NRT,305.61,4.53,D
45.07131,19.20675,331.79,0.5,0.41,2025-06-09,1153,N20,VIIRS,l,2.0NRT,305.88,2.19,D
43.91084,21.51409,295.3,0.51,0.41,2025-06-10,0009,N20,VIIRS,n,2.0NRT,283.04,0.82,N
44.59922,20.97528,302.01,0.55,0.42,2025-06-10,0009,N20,VIIRS,n,2.0NRT,284.31,1.39,N
44.57029,22.56178,302.18,0.47,0.4,2025-06-10,0009,N20,VIIRS,n,2.0NRT,287.53,0.67,N
45.61536,19.7363,341.55,0.39,0.36,2025-06-10,1134,N20,VIIRS,n,2.0NRT,308.34,7.41,D
45.0492,19.18963,337.94,0.39,0.36,2025-06-10,1134,N20,VIIRS,n,2.0NRT,309.19,4.99,D
45.05248,19.18868,345.7,0.39,0.36,2025-06-10,1134,N20,VIIRS,n,2.0NRT,309.43,4.99,D
44.59907,20.97518,297.99,0.41,0.61,2025-06-11,0130,N20,VIIRS,n,2.0NRT,287.01,0.87,N
44.08031,22.10418,299.23,0.58,0.52,2025-06-12,0111,N20,VIIRS,n,2.0NRT,287.14,1.31,N
