latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
43.61196,21.00641,317.84,1.19,1.08,2025-06-06,1232,Aqua,MODIS,64,6.1NRT,304.05,11.7,D
45.38508,20.43104,315.13,1.24,1.11,2025-06-11,1229,Aqua,MODIS,27,6.1NRT,302.76,5.83,D
42.70372,22.10099,313.13,1.18,1.08,2025-06-11,1229,Aqua,MODIS,56,6.1NRT,300.81,7.73,D
44.36902,19.5951,309.05,1.31,1.14,2025-06-14,0854,Terra,MODIS,54,6.1NRT,298.66,7.05,D
44.0622,22.12884,341.99,1.04,1.02,2025-06-14,1249,Aqua,MODIS,91,6.1NRT,309.22,40.14,D
42.54759,21.91035,315.66,1.12,1.05,2025-06-16,0835,Terra,MODIS,41,6.1NRT,303.7,7.88,D
43.17107,22.57823,316.46,1.16,1.07,2025-06-16,0835,Terra,MODIS,32,6.1NRT,304.15,9.91,D
44.88889,20.78186,311.4,1.05,1.02,2025-06-17,0202,Aqua,MODIS,82,6.1NRT,287.41,13.39,N
43.83856,19.89424,311.04,1.44,1.19,2025-06-19,0854,Terra,MODIS,54,6.1NRT,298.54,8.57,D
45.74187,19.1463,315.02,1.22,1.1,2025-06-19,0854,Terra,MODIS,50,6.1NRT,301.99,7.03,D
44.99908,20.53266,302.45,2.03,1.39,2025-06-19,2000,Terra,MODIS,49,6.1NRT,291.45,13.44,N
43.17257,22.58018,313.25,1.19,1.08,2025-06-21,0835,Terra,MODIS,46,6.1NRT,299.13,9.95,D
44.0204,21.65975,309.62,1.08,1.04,2025-06-21,0835,Terra,MODIS,51,6.1NRT,294.76,8.48,D
44.01833,21.67235,323.01,1.08,1.04,2025-06-21,0835,Terra,MODIS,78,6.1NRT,295.96,22.22,D
42.54074,21.91038,316.1,1.14,1.07,2025-06-21,0835,Terra,MODIS,75,6.1NRT,302.03,9.08,D
44.6014,20.98272,302.58,1.03,1.01,2025-06-22,0158,Aqua,MODIS,50,6.1NRT,283.93,8.32,N
43.99749,21.64844,311.73,1.01,1,2025-06-23,1921,Terra,MODIS,83,6.1NRT,289.15,11.72,N
43.18439,21.77415,331.25,1,1,2025-06-24,1244,Aqua,MODIS,83,6.1NRT,310.24,15.87,D
42.38347,21.70337,321.9,1.16,1.07,2025-06-26,0837,Terra,MODIS,66,6.1NRT,307.81,11.06,D
42.54435,21.90977,323.03,1.17,1.08,2025-06-26,0837,Terra,MODIS,76,6.1NRT,307.16,12.25,D
44.54289,19.19618,302.02,1.1,1.04,2025-06-28,1921,Terra,MODIS,46,6.1NRT,290.88,5.33,N
44.534,19.20308,316.02,1.37,1.16,2025-06-29,0854,Terra,MODIS,58,6.1NRT,300.92,11.25,D
44.53712,19.18664,318.81,1.37,1.16,2025-06-29,0854,Terra,MODIS,72,6.1NRT,301.68,15.26,D
43.78283,19.68104,312.85,1.5,1.21,2025-06-29,0854,Terra,MODIS,50,6.1NRT,300.81,10.47,D
44.06452,21.10741,317.17,1.03,1.02,2025-06-29,1242,Aqua,MODIS,60,6.1NRT,305.35,7.79,D
45.33615,20.43417,322.77,1.04,1.02,2025-06-29,1242,Aqua,MODIS,67,6.1NRT,308.54,8.58,D
44.65367,21.35293,361.06,1.02,1.01,2025-06-29,1242,Aqua,MODIS,100,6.1NRT,306.39,81.26,D
44.58559,21.22538,318.09,1.02,1.01,2025-06-29,1242,Aqua,MODIS,47,6.1NRT,304.87,6.4,D
43.78041,21.37507,324.69,1.03,1.01,2025-06-29,1242,Aqua,MODIS,75,6.1NRT,307.33,10.55,D
43.59705,20.21091,315.4,1.1,1.04,2025-06-29,1242,Aqua,MODIS,55,6.1NRT,303.79,8.97,D
44.71536,20.86222,302.3,2.27,1.46,2025-06-29,2002,Terra,MODIS,48,6.1NRT,290.97,16.12,N
44.724,21.5897,326.63,2.25,1.45,2025-06-30,1318,Aqua,MODIS,0,6.1NRT,301.96,41.75,D
44.72248,21.58476,335.78,2.25,1.45,2025-06-30,1318,Aqua,MODIS,0,6.1NRT,303.2,83.84,D
44.71534,21.57323,306.04,1.36,1.15,2025-06-30,1902,Terra,MODIS,20,6.1NRT,295.49,6.71,N
42.54908,21.90274,316.91,1.2,1.09,2025-07-01,0837,Terra,MODIS,27,6.1NRT,302.7,9.46,D
44.00267,20.45564,314.59,1.04,1.02,2025-07-01,0837,Terra,MODIS,49,6.1NRT,302.63,7.27,D
43.28476,21.82503,347.09,1.6,1.25,2025-07-01,1221,Aqua,MODIS,94,6.1NRT,298.66,90.81,D
44.22575,21.10657,311.62,1.65,1.26,2025-07-01,1221,Aqua,MODIS,33,6.1NRT,293.31,9.04,D
43.28671,21.81746,333.28,1.6,1.25,2025-07-01,1221,Aqua,MODIS,86,6.1NRT,297.95,44.1,D
43.28099,21.80647,337.67,1.6,1.25,2025-07-01,1221,Aqua,MODIS,89,6.1NRT,298.72,57.16,D
45.90921,19.86511,323.08,1.74,1.29,2025-07-01,1221,Aqua,MODIS,74,6.1NRT,308.84,19.16,D
43.50723,19.79021,313.12,2.97,1.64,2025-07-02,0915,Terra,MODIS,59,6.1NRT,300.68,41.46,D
43.59916,19.49462,341.04,1.02,1.01,2025-07-02,1259,Aqua,MODIS,89,6.1NRT,309.94,35.93,D
44.62256,20.17959,328.58,1.08,1.04,2025-07-02,1259,Aqua,MODIS,78,6.1NRT,311.29,15.47,D
43.1062,21.02686,307.8,1.01,1.01,2025-07-03,1921,Terra,MODIS,73,6.1NRT,289.7,9.17,N
43.11497,21.02441,313.76,1.01,1.01,2025-07-03,1921,Terra,MODIS,88,6.1NRT,290.12,13.15,N
43.1132,21.01255,316.4,1.02,1.01,2025-07-03,1921,Terra,MODIS,93,6.1NRT,289.19,15.82,N
44.8341,20.66025,316.08,1.01,1,2025-07-03,1921,Terra,MODIS,92,6.1NRT,295.84,13.59,N
43.11715,21.01022,305.35,1.33,1.14,2025-07-04,0134,Aqua,MODIS,64,6.1NRT,286.49,13.03,N
43.11551,21.02512,303.38,1.32,1.14,2025-07-04,0134,Aqua,MODIS,55,6.1NRT,287.81,11,N
45.24222,20.04667,327.62,1.5,1.21,2025-07-04,0856,Terra,MODIS,78,6.1NRT,306.96,27.05,D
43.11944,21.0061,318.61,1.91,1.35,2025-07-04,0856,Terra,MODIS,71,6.1NRT,302.33,28,D
43.11442,21.02961,316.11,1.91,1.35,2025-07-04,0856,Terra,MODIS,66,6.1NRT,303.51,21.94,D
43.11464,21.02865,320.34,1.1,1.05,2025-07-04,1238,Aqua,MODIS,23,6.1NRT,306.32,9.98,D
43.11249,21.01612,327.27,1.1,1.05,2025-07-04,1238,Aqua,MODIS,77,6.1NRT,306.32,19.6,D
43.1104,21.00394,324.07,1.11,1.05,2025-07-04,1238,Aqua,MODIS,66,6.1NRT,305.48,14.71,D
43.11933,21.00054,328.45,1.11,1.05,2025-07-04,1238,Aqua,MODIS,75,6.1NRT,304.04,21.03,D
44.43192,20.68442,328.83,1.09,1.04,2025-07-04,1238,Aqua,MODIS,77,6.1NRT,310.48,12.31,D
44.64149,20.93172,333.65,1.07,1.03,2025-07-04,1238,Aqua,MODIS,82,6.1NRT,312.92,18.82,D
45.71756,20.3188,337.21,1.08,1.04,2025-07-04,1240,Aqua,MODIS,83,6.1NRT,312.82,22.37,D
44.91437,20.16075,322.01,1.03,1.01,2025-07-06,0837,Terra,MODIS,48,6.1NRT,304.45,6.98,D
44.91241,20.17329,325.63,1.03,1.01,2025-07-06,0837,Terra,MODIS,67,6.1NRT,306.13,11.11,D
44.90361,20.17061,326.52,1.03,1.01,2025-07-06,0837,Terra,MODIS,73,6.1NRT,306.6,11.59,D
43.61266,21.00688,317.07,1.1,1.05,2025-07-06,0837,Terra,MODIS,48,6.1NRT,305.23,8.6,D
42.58696,22.00272,326.21,1.78,1.31,2025-07-06,1219,Aqua,MODIS,79,6.1NRT,307.1,35.25,D
44.87899,20.47698,327.34,1.87,1.34,2025-07-06,1219,Aqua,MODIS,68,6.1NRT,306.72,30.03,D
43.09263,21.65018,301.13,1.35,1.15,2025-07-06,1942,Terra,MODIS,34,6.1NRT,289.87,3.88,N
43.03506,20.42703,303.05,1.19,1.08,2025-07-06,1942,Terra,MODIS,53,6.1NRT,290.79,7.41,N
43.19745,21.70363,306.34,1.36,1.16,2025-07-06,1942,Terra,MODIS,68,6.1NRT,294.11,7.85,N
43.09956,21.6505,301.11,1.01,1,2025-07-07,0152,Aqua,MODIS,38,6.1NRT,290.98,4.3,N
43.51329,19.7822,314.48,3.08,1.67,2025-07-07,0917,Terra,MODIS,65,6.1NRT,298.73,45.21,D
43.50448,19.81709,311.74,3.09,1.67,2025-07-07,0917,Terra,MODIS,56,6.1NRT,296.86,34.97,D
43.50376,19.81151,310.64,3.09,1.67,2025-07-07,0917,Terra,MODIS,54,6.1NRT,297.49,32.62,D
44.37782,20.04789,330.55,1.03,1.01,2025-07-07,1257,Aqua,MODIS,82,6.1NRT,306.64,18.69,D
43.11089,21.67123,336.87,1.1,1.05,2025-07-07,1257,Aqua,MODIS,87,6.1NRT,309.46,29.08,D
43.10925,21.65793,372.95,1.1,1.04,2025-07-07,1257,Aqua,MODIS,100,6.1NRT,317.51,128.35,D
43.10762,21.64473,347.05,1.1,1.04,2025-07-07,1257,Aqua,MODIS,93,6.1NRT,313.87,49.11,D
43.10601,21.63168,326.36,1.1,1.04,2025-07-07,1257,Aqua,MODIS,66,6.1NRT,308.72,12.98,D
43.11998,21.6689,360.7,1.1,1.05,2025-07-07,1257,Aqua,MODIS,100,6.1NRT,308.78,86.74,D
43.11835,21.65563,405.03,1.1,1.04,2025-07-07,1257,Aqua,MODIS,100,6.1NRT,316.25,310.82,D
43.1167,21.64234,341.65,1.1,1.04,2025-07-07,1257,Aqua,MODIS,90,6.1NRT,310.96,38.37,D
43.18724,21.68085,342.06,1.1,1.05,2025-07-07,1257,Aqua,MODIS,90,6.1NRT,313.73,35.16,D
43.13039,21.08865,320.73,1.06,1.03,2025-07-07,1257,Aqua,MODIS,69,6.1NRT,306.3,11.51,D
43.17707,21.23635,379.84,1.07,1.03,2025-07-07,1257,Aqua,MODIS,100,6.1NRT,318.18,151.7,D
43.17545,21.22369,344.46,1.07,1.03,2025-07-07,1257,Aqua,MODIS,92,6.1NRT,314.4,40.31,D
43.18769,21.24684,399.52,1.07,1.03,2025-07-07,1257,Aqua,MODIS,100,6.1NRT,314.32,259.99,D
43.18605,21.23404,412.78,1.07,1.03,2025-07-07,1257,Aqua,MODIS,100,6.1NRT,321.3,357.21,D
43.18442,21.22132,365.51,1.07,1.03,2025-07-07,1257,Aqua,MODIS,100,6.1NRT,315.28,96.83,D
43.19504,21.23184,323.95,1.07,1.03,2025-07-07,1257,Aqua,MODIS,71,6.1NRT,308.38,10.33,D
43.30707,21.97538,332.86,1.13,1.06,2025-07-07,1257,Aqua,MODIS,83,6.1NRT,311.15,20.15,D
43.25016,21.44441,348.55,1.08,1.04,2025-07-07,1257,Aqua,MODIS,94,6.1NRT,315.84,47.77,D
43.24851,21.43145,351.17,1.08,1.04,2025-07-07,1257,Aqua,MODIS,95,6.1NRT,317.01,52.85,D
43.2452,21.40553,330.3,1.08,1.04,2025-07-07,1257,Aqua,MODIS,81,6.1NRT,312.82,13.72,D
43.26087,21.4551,382.48,1.09,1.04,2025-07-07,1257,Aqua,MODIS,100,6.1NRT,316.94,166.49,D
43.25922,21.44214,404.23,1.08,1.04,2025-07-07,1257,Aqua,MODIS,100,6.1NRT,321.72,295.65,D
43.25756,21.42923,371.77,1.08,1.04,2025-07-07,1257,Aqua,MODIS,100,6.1NRT,315.72,117.4,D
43.25425,21.4033,327.94,1.08,1.04,2025-07-07,1257,Aqua,MODIS,78,6.1NRT,312.93,10.38,D
43.26737,21.44773,363.54,1.09,1.04,2025-07-07,1257,Aqua,MODIS,100,6.1NRT,313.62,92.89,D
43.26509,21.35512,335.96,1.08,1.04,2025-07-07,1257,Aqua,MODIS,86,6.1NRT,313.78,24.83,D
43.27413,21.35298,333.79,1.08,1.04,2025-07-07,1257,Aqua,MODIS,84,6.1NRT,312.2,20.86,D
43.30698,21.31831,335.12,1.08,1.04,2025-07-07,1257,Aqua,MODIS,85,6.1NRT,311.85,24.81,D
43.30532,21.30539,355.09,1.08,1.04,2025-07-07,1257,Aqua,MODIS,97,6.1NRT,313.26,66.54,D
43.50748,21.29836,330.4,1.08,1.04,2025-07-07,1257,Aqua,MODIS,80,6.1NRT,312.72,16.16,D
43.60648,21.64658,350.42,1.11,1.05,2025-07-07,1257,Aqua,MODIS,95,6.1NRT,315.85,51.94,D
43.60484,21.63332,351.14,1.11,1.05,2025-07-07,1257,Aqua,MODIS,95,6.1NRT,316.64,53.75,D
43.93648,22.09957,330.65,1.16,1.07,2025-07-07,1257,Aqua,MODIS,76,6.1NRT,310.73,17.37,D
44.01601,21.67455,325.32,1.12,1.06,2025-07-07,1257,Aqua,MODIS,68,6.1NRT,305.65,17.55,D
44.14697,22.08062,323.87,1.16,1.07,2025-07-07,1257,Aqua,MODIS,46,6.1NRT,308.61,11.64,D
44.14534,22.06691,335.78,1.16,1.07,2025-07-07,1257,Aqua,MODIS,82,6.1NRT,309.94,30.18,D
44.54543,20.12663,322.15,1.03,1.02,2025-07-07,1257,Aqua,MODIS,70,6.1NRT,300.9,14.39,D
44.54373,20.11404,328.95,1.03,1.01,2025-07-07,1257,Aqua,MODIS,81,6.1NRT,296.25,23.12,D
45.35208,19.32507,310.74,1.01,1.01,2025-07-07,1257,Aqua,MODIS,25,6.1NRT,295.12,5.23,D
45.35035,19.31257,331,1.01,1.01,2025-07-07,1257,Aqua,MODIS,84,6.1NRT,297.58,25.39,D
42.36378,21.67569,317.97,2.71,1.58,2025-07-07,1845,Terra,MODIS,96,6.1NRT,296.67,59.72,N
43.029,21.66961,309.05,2.6,1.55,2025-07-07,1845,Terra,MODIS,76,6.1NRT,294.5,28.75,N
43.02232,21.64116,306.24,2.61,1.55,2025-07-07,1845,Terra,MODIS,67,6.1NRT,294.31,20.67,N
42.98338,21.28963,303.9,2.74,1.58,2025-07-07,1845,Terra,MODIS,58,6.1NRT,290.72,21.44,N
43.08845,21.67749,323.54,2.58,1.54,2025-07-07,1845,Terra,MODIS,100,6.1NRT,295.03,76.58,N
43.08155,21.64762,318.5,2.6,1.55,2025-07-07,1845,Terra,MODIS,97,6.1NRT,294.9,54.61,N
43.11469,21.72914,325.31,2.56,1.54,2025-07-07,1845,Terra,MODIS,100,6.1NRT,294.72,81.5,N
43.10803,21.70011,322.95,2.57,1.54,2025-07-07,1845,Terra,MODIS,100,6.1NRT,295.25,70.71,N
43.09478,21.6425,340.72,2.6,1.55,2025-07-07,1845,Terra,MODIS,100,6.1NRT,295.84,165.25,N
43.08788,21.61254,322.41,2.61,1.55,2025-07-07,1845,Terra,MODIS,100,6.1NRT,295.58,70.51,N
43.08118,21.58355,315.11,2.62,1.55,2025-07-07,1845,Terra,MODIS,91,6.1NRT,295.12,46.55,N
43.08214,21.67476,320.71,2.58,1.54,2025-07-07,1845,Terra,MODIS,100,6.1NRT,295,63.55,N
43.075,21.6447,311.63,2.6,1.55,2025-07-07,1845,Terra,MODIS,24,6.1NRT,294.56,30.58,N
42.98825,21.28272,302.44,2.74,1.58,2025-07-07,1845,Terra,MODIS,49,6.1NRT,290.24,17.67,N
43.10877,21.72651,319.32,2.56,1.54,2025-07-07,1845,Terra,MODIS,98,6.1NRT,294.63,56.72,N
43.08825,21.63966,316.44,2.6,1.55,2025-07-07,1845,Terra,MODIS,49,6.1NRT,294.82,44.52,N
43.08123,21.61004,316.15,2.61,1.55,2025-07-07,1845,Terra,MODIS,93,6.1NRT,295.25,48.3,N
43.12176,21.72071,314.95,2.56,1.54,2025-07-07,1845,Terra,MODIS,52,6.1NRT,294.34,40.45,N
43.11509,21.69235,320.31,2.57,1.54,2025-07-07,1845,Terra,MODIS,100,6.1NRT,294.86,59.83,N
43.1015,21.63466,345.46,2.6,1.55,2025-07-07,1845,Terra,MODIS,100,6.1NRT,295.74,201.4,N
43.09448,21.60492,311.14,2.61,1.55,2025-07-07,1845,Terra,MODIS,68,6.1NRT,294.92,31.87,N
43.08757,21.57565,319.95,2.62,1.55,2025-07-07,1845,Terra,MODIS,99,6.1NRT,294.99,65.35,N
43.11492,21.63038,313.18,2.6,1.55,2025-07-07,1845,Terra,MODIS,29,6.1NRT,294.23,36.22,N
43.13225,21.1137,300.37,2.78,1.59,2025-07-07,1845,Terra,MODIS,10,6.1NRT,289.27,15.24,N
43.12517,21.08391,309.24,2.79,1.6,2025-07-07,1845,Terra,MODIS,77,6.1NRT,288.71,40.52,N
43.13818,21.07594,303.98,2.79,1.6,2025-07-07,1845,Terra,MODIS,42,6.1NRT,288.64,24.78,N
43.18674,21.21929,301.87,2.73,1.58,2025-07-07,1845,Terra,MODIS,45,6.1NRT,291.12,15.29,N
43.13674,21.10718,312.78,2.78,1.59,2025-07-07,1845,Terra,MODIS,86,6.1NRT,289.42,53.15,N
43.12937,21.07686,311.92,2.79,1.6,2025-07-07,1845,Terra,MODIS,84,6.1NRT,288.56,51.69,N
43.17819,21.21729,305.21,2.73,1.58,2025-07-07,1845,Terra,MODIS,63,6.1NRT,291.55,24.68,N
44.89,19.95582,300.7,2.84,1.61,2025-07-07,1845,Terra,MODIS,32,6.1NRT,284.81,20.93,N
44.89167,19.95934,307.05,1.92,1.35,2025-07-08,0230,Aqua,MODIS,70,6.1NRT,287.99,24.44,N
43.13719,21.10958,308.36,2.51,1.52,2025-07-08,0232,Aqua,MODIS,74,6.1NRT,288.18,35.4,N
44.80696,20.80388,330.65,1.11,1.05,2025-07-08,0818,Terra,MODIS,82,6.1NRT,303.59,24.1,D
44.80115,20.79654,336.96,1.11,1.05,2025-07-08,0818,Terra,MODIS,87,6.1NRT,304.16,35.22,D
44.7995,20.81023,325.54,1.11,1.05,2025-07-08,0818,Terra,MODIS,76,6.1NRT,304.83,16.77,D
44.06475,22.02916,318.4,1.02,1.01,2025-07-08,0818,Terra,MODIS,55,6.1NRT,300.84,8.48,D
43.24575,21.59341,321.46,1.03,1.02,2025-07-08,0818,Terra,MODIS,76,6.1NRT,307.04,7.46,D
