latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
44.08147,22.104,298.47,0.53,0.42,2025-06-01,0056,N,VIIRS,n,2.0NRT,285.46,1.08,N
44.00992,19.89035,302.61,0.45,0.39,2025-06-01,0056,N,VIIRS,n,2.0NRT,281.44,0.51,N
45.21289,21.11438,304.39,0.47,0.4,2025-06-01,0056,N,VIIRS,n,2.0NRT,282.67,0.89,N
45.23951,19.63661,304.69,0.42,0.38,2025-06-01,0056,N,VIIRS,n,2.0NRT,285.26,0.73,N
44.59897,20.97604,323.77,0.47,0.4,2025-06-01,0056,N,VIIRS,n,2.0NRT,283.57,2.2,N
43.90984,21.5125,297.15,0.39,0.36,2025-06-02,0037,N,VIIRS,n,2.0NRT,285.14,0.64,N
44.01054,19.88967,307.94,0.39,0.36,2025-06-02,0037,N,VIIRS,n,2.0NRT,284.58,0.66,N
44.6087,20.96617,301.54,0.38,0.36,2025-06-02,0037,N,VIIRS,n,2.0NRT,287.07,0.98,N
44.60096,20.97695,300.39,0.38,0.36,2025-06-02,0037,N,VIIRS,n,2.0NRT,287.85,0.81,N
44.59769,20.97593,301.25,0.38,0.36,2025-06-02,0037,N,VIIRS,n,2.0NRT,286.51,0.64,N
44.01291,19.88714,306.42,0.39,0.36,2025-06-02,0037,N,VIIRS,n,2.0NRT,284.25,0.8,N
44.08084,22.10694,306.84,0.39,0.36,2025-06-02,0037,N,VIIRS,n,2.0NRT,287.32,1.09,N
44.60069,20.97919,331.15,0.47,0.48,2025-06-02,1202,N,VIIRS,n,2.0NRT,298.84,4.33,D
45.67522,19.43527,300.44,0.56,0.43,2025-06-03,0018,N,VIIRS,n,2.0NRT,287.15,0.41,N
44.07894,22.10739,299.23,0.43,0.38,2025-06-03,0018,N,VIIRS,n,2.0NRT,289.03,1.15,N
44.59858,20.97847,298.66,0.47,0.4,2025-06-03,0018,N,VIIRS,n,2.0NRT,287.61,0.69,N
44.59805,20.97294,302.57,0.47,0.4,2025-06-03,0018,N,VIIRS,n,2.0NRT,287.49,0.98,N
43.90953,21.51221,297.88,0.47,0.48,2025-06-04,0001,N,VIIRS,n,2.0NRT,287.56,0.7,N
44.59604,20.97802,301.27,0.5,0.49,2025-06-04,0001,N,VIIRS,n,2.0NRT,287.49,1.1,N
44.01156,19.88658,296.17,0.56,0.52,2025-06-04,0001,N,VIIRS,n,2.0NRT,285.85,0.74,N
43.90747,21.51195,295.72,0.53,0.67,2025-06-04,0139,N,VIIRS,n,2.0NRT,285.28,0.44,N
43.90873,21.51376,295.89,0.53,0.67,2025-06-04,0139,N,VIIRS,n,2.0NRT,285.65,0.63,N
44.59933,20.97664,340.66,0.39,0.36,2025-06-04,1123,N,VIIRS,n,2.0NRT,308.99,4.54,D
44.59606,20.97767,340.13,0.39,0.36,2025-06-04,1123,N,VIIRS,n,2.0NRT,306.38,4.54,D
44.08163,22.10325,300.3,0.38,0.59,2025-06-04,2339,N,VIIRS,n,2.0NRT,286.45,0.66,N
44.08183,22.10302,298.42,0.38,0.59,2025-06-04,2339,N,VIIRS,n,2.0NRT,286.15,0.79,N
44.07889,22.10466,302.17,0.34,0.56,2025-06-05,0122,N,VIIRS,n,2.0NRT,289.49,0.64,N
43.27992,20.01667,328.72,0.39,0.44,2025-06-05,1106,N,VIIRS,l,2.0NRT,300.41,2.05,D
45.26522,19.85559,340.03,0.54,0.42,2025-06-05,1106,N,VIIRS,n,2.0NRT,306.41,5.36,D
44.08138,22.10734,297.88,0.41,0.45,2025-06-06,0102,N,VIIRS,n,2.0NRT,282.06,0.85,N
44.01115,19.88508,304.77,0.51,0.41,2025-06-06,0102,N,VIIRS,n,2.0NRT,287.55,1.25,N
43.77185,21.90552,328.2,0.51,0.49,2025-06-06,1045,N,VIIRS,l,2.0NRT,300.25,4.69,D
43.33931,21.77789,340.28,0.53,0.5,2025-06-06,1045,N,VIIRS,n,2.0NRT,301.46,2.16,D
43.34079,21.77863,335.4,0.53,0.5,2025-06-06,1045,N,VIIRS,n,2.0NRT,301.75,3.91,D
44.59969,20.97719,307.66,0.39,0.37,2025-06-07,0043,N,VIIRS,n,2.0NRT,291.79,1.15,N
45.13667,19.20583,302.56,0.38,0.36,2025-06-07,0043,N,VIIRS,n,2.0NRT,289.6,0.44,N
44.08174,22.10489,307,0.42,0.38,2025-06-07,0043,N,VIIRS,n,2.0NRT,289.83,1.1,N
44.08019,22.1039,298.84,0.4,0.37,2025-06-08,0026,N,VIIRS,n,2.0NRT,286.31,1.02,N
44.5998,20.98019,311.91,0.42,0.38,2025-06-08,0026,N,VIIRS,n,2.0NRT,291.79,0.87,N
44.01097,19.88707,303.5,0.45,0.39,2025-06-08,0026,N,VIIRS,n,2.0NRT,287.74,0.81,N
45.22149,20.79474,332.53,0.51,0.41,2025-06-08,1149,N,VIIRS,l,2.0NRT,305.32,2.97,D
45.22266,20.79462,331.11,0.51,0.41,2025-06-08,1149,N,VIIRS,l,2.0NRT,305.19,1.98,D
44.0798,22.10257,303.11,0.56,0.43,2025-06-09,0005,N,VIIRS,n,2.0NRT,291.46,1.25,N
44.00043,20.90696,332.77,0.39,0.36,2025-06-09,1130,N,VIIRS,l,2.0NRT,305.09,2.17,D
45.06237,19.19082,338.36,0.39,0.36,2025-06-09,1132,N,VIIRS,n,2.0NRT,306.87,2.1,D
44.60822,20.96733,302.65,0.36,0.58,2025-06-09,2348,N,VIIRS,n,2.0NRT,286.2,0.66,N
43.90773,21.51246,295.47,0.38,0.59,2025-06-10,0128,N,VIIRS,n,2.0NRT,281.37,0.37,N
44.60063,20.97977,306.3,0.35,0.56,2025-06-10,0128,N,VIIRS,n,2.0NRT,283.6,0.96,N
44.07933,22.10341,297.99,0.4,0.6,2025-06-10,0128,N,VIIRS,n,2.0NRT,285.79,0.61,N
45.64718,18.98332,330.54,0.5,0.41,2025-06-10,1110,N,VIIRS,l,2.0NRT,304.5,2.15,D
45.05144,19.19066,337.69,0.5,0.41,2025-06-10,1110,N,VIIRS,n,2.0NRT,308.46,8.62,D
44.59771,20.97815,302.69,0.42,0.45,2025-06-11,0107,N,VIIRS,n,2.0NRT,287.31,1.07,N
44.01171,19.88926,306.72,0.39,0.44,2025-06-11,0109,N,VIIRS,n,2.0NRT,284.91,0.95,N
43.90866,21.51053,299.7,0.46,0.47,2025-06-11,0109,N,VIIRS,n,2.0NRT,288.42,0.48,N
43.95163,22.29939,334.29,0.41,0.45,2025-06-11,1053,N,VIIRS,n,2.0NRT,300.59,2,D
43.94955,22.29794,329.96,0.41,0.45,2025-06-11,1053,N,VIIRS,n,2.0NRT,301.04,1.27,D
44.59823,20.97605,309.34,0.42,0.38,2025-06-12,0050,N,VIIRS,n,2.0NRT,285.82,1.44,N
44.59772,20.97475,306.62,0.42,0.38,2025-06-12,0050,N,VIIRS,n,2.0NRT,285.3,1.41,N
44.08026,22.10539,304.17,0.47,0.39,2025-06-12,0050,N,VIIRS,n,2.0NRT,289.25,1.04,N
44.01172,19.88692,309.64,0.41,0.37,2025-06-12,0050,N,VIIRS,n,2.0NRT,284.77,1.13,N
44.53207,20.53637,332.34,0.39,0.6,2025-06-12,1034,N,VIIRS,n,2.0NRT,294.08,3.21,D
43.7203,21.39139,345.05,0.38,0.59,2025-06-12,1034,N,VIIRS,n,2.0NRT,300.76,5.2,D
44.88002,19.74903,328.44,0.42,0.61,2025-06-12,1034,N,VIIRS,n,2.0NRT,295.72,1.11,D
43.65573,21.37851,367,0.34,0.56,2025-06-12,1214,N,VIIRS,h,2.0NRT,302.99,7.12,D
43.71969,21.39072,347.52,0.34,0.56,2025-06-12,1214,N,VIIRS,n,2.0NRT,301.85,3.48,D
42.45728,21.79161,305.78,0.38,0.36,2025-06-13,0033,N,VIIRS,n,2.0NRT,283.24,0.84,N
42.49719,22.39235,297.7,0.39,0.36,2025-06-13,0033,N,VIIRS,n,2.0NRT,282.47,0.35,N
42.61974,21.7583,327.74,0.38,0.36,2025-06-13,0033,N,VIIRS,n,2.0NRT,286.01,2.53,N
44.01231,19.88632,302.32,0.41,0.37,2025-06-13,0033,N,VIIRS,n,2.0NRT,284.85,1.03,N
43.90871,21.51312,301.74,0.39,0.36,2025-06-13,0033,N,VIIRS,n,2.0NRT,284.87,0.26,N
44.08,22.10523,308.12,0.38,0.36,2025-06-13,0033,N,VIIRS,n,2.0NRT,288.64,1.1,N
44.97638,19.64442,298.69,0.42,0.38,2025-06-13,0033,N,VIIRS,n,2.0NRT,288.65,0.62,N
45.07304,19.20359,303.04,0.43,0.38,2025-06-13,0033,N,VIIRS,n,2.0NRT,286.45,0.46,N
45.4789,19.26396,296.27,0.43,0.38,2025-06-13,0033,N,VIIRS,n,2.0NRT,285.82,0.22,N
46.00414,19.68264,337.99,0.62,0.71,2025-06-13,1015,N,VIIRS,n,2.0NRT,297.66,2.99,D
42.61758,21.75819,349.06,0.41,0.45,2025-06-13,1155,N,VIIRS,n,2.0NRT,301.04,10.58,D
43.90876,21.51079,296.67,0.51,0.41,2025-06-14,0011,N,VIIRS,n,2.0NRT,285.46,0.87,N
44.08044,22.10371,300.64,0.48,0.4,2025-06-14,0011,N,VIIRS,n,2.0NRT,287.98,0.88,N
44.07959,22.10243,299.75,0.48,0.4,2025-06-14,0011,N,VIIRS,n,2.0NRT,287.18,1.03,N
44.01269,19.88662,297.24,0.4,0.44,2025-06-14,0011,N,VIIRS,n,2.0NRT,283.6,0.5,N
45.2071,19.70636,298.04,0.42,0.45,2025-06-14,0011,N,VIIRS,n,2.0NRT,287.55,0.77,N
42.61315,21.75611,295.35,0.48,0.4,2025-06-14,0013,N,VIIRS,n,2.0NRT,282.62,0.73,N
42.61444,21.75674,305.39,0.48,0.4,2025-06-14,0013,N,VIIRS,n,2.0NRT,283.4,1.6,N
42.61683,21.75693,303.17,0.48,0.4,2025-06-14,0013,N,VIIRS,n,2.0NRT,283.73,0.73,N
45.53359,19.37607,296.76,0.52,0.67,2025-06-14,0152,N,VIIRS,n,2.0NRT,282,1.07,N
45.53568,19.36975,305.8,0.52,0.67,2025-06-14,0152,N,VIIRS,n,2.0NRT,282.86,1.73,N
45.53599,19.37544,316.11,0.52,0.67,2025-06-14,0152,N,VIIRS,n,2.0NRT,283.26,2.13,N
43.7219,20.77826,302,0.69,0.74,2025-06-14,0152,N,VIIRS,n,2.0NRT,283.17,1.47,N
43.94337,21.42094,332.31,0.41,0.37,2025-06-14,1138,N,VIIRS,n,2.0NRT,304.38,2.45,D
44.12998,21.35808,337.86,0.41,0.37,2025-06-14,1138,N,VIIRS,n,2.0NRT,301.68,2.17,D
44.00034,20.90713,336.98,0.4,0.37,2025-06-14,1138,N,VIIRS,l,2.0NRT,308.43,2.28,D
43.9427,21.41582,334.54,0.41,0.37,2025-06-14,1138,N,VIIRS,n,2.0NRT,304.39,2.45,D
44.59832,20.97672,300.73,0.6,0.53,2025-06-14,2354,N,VIIRS,n,2.0NRT,285.98,1.38,N
44.8198,20.49426,297.47,0.32,0.55,2025-06-14,2354,N,VIIRS,n,2.0NRT,287.21,0.35,N
44.60079,20.97774,328.57,0.41,0.6,2025-06-15,0134,N,VIIRS,n,2.0NRT,285.81,2.13,N
45.09224,20.97547,300.71,0.52,0.67,2025-06-15,2333,N,VIIRS,n,2.0NRT,284.6,0.87,N
44.59835,20.97445,304.88,0.5,0.49,2025-06-16,0115,N,VIIRS,n,2.0NRT,286.63,1.47,N
44.07942,22.10378,297.93,0.58,0.52,2025-06-16,0115,N,VIIRS,n,2.0NRT,287.72,0.81,N
45.09121,20.97741,301.35,0.48,0.48,2025-06-16,0115,N,VIIRS,n,2.0NRT,284.37,0.62,N
44.59857,20.97768,337.08,0.39,0.44,2025-06-16,1100,N,VIIRS,l,2.0NRT,311.78,4.43,D
44.42439,20.69147,332.87,0.4,0.44,2025-06-16,1100,N,VIIRS,n,2.0NRT,303.21,0.83,D
44.88799,20.77819,302.67,0.46,0.39,2025-06-17,0056,N,VIIRS,n,2.0NRT,280.65,0.5,N
44.65674,21.97739,301.04,0.51,0.41,2025-06-17,0056,N,VIIRS,n,2.0NRT,288.27,0.49,N
44.88685,20.7839,296,0.46,0.39,2025-06-17,0056,N,VIIRS,n,2.0NRT,277.95,0.5,N
44.08127,22.10584,304.56,0.53,0.42,2025-06-17,0056,N,VIIRS,n,2.0NRT,290.53,1.2,N
44.0104,19.88648,303.34,0.45,0.39,2025-06-17,0056,N,VIIRS,n,2.0NRT,284.77,0.98,N
44.88631,20.78174,330.62,0.63,0.54,2025-06-17,1041,N,VIIRS,n,2.0NRT,296.1,4.51,D
43.90867,21.51099,300.89,0.39,0.36,2025-06-18,0037,N,VIIRS,n,2.0NRT,288.34,0.7,N
43.22397,21.77373,303.51,0.39,0.36,2025-06-18,0037,N,VIIRS,n,2.0NRT,287.39,0.43,N
44.88827,20.78286,312.81,0.38,0.36,2025-06-18,0037,N,VIIRS,n,2.0NRT,289.44,0.7,N
45.87799,19.45736,297.07,0.4,0.37,2025-06-18,0037,N,VIIRS,n,2.0NRT,282.17,0.43,N
44.74282,19.90641,340.87,0.42,0.45,2025-06-18,1202,N,VIIRS,n,2.0NRT,298.88,5.77,D
44.60898,20.96701,299.35,0.47,0.4,2025-06-19,0018,N,VIIRS,n,2.0NRT,288.44,0.64,N
44.08145,22.10757,303.96,0.43,0.38,2025-06-19,0018,N,VIIRS,n,2.0NRT,290.83,0.7,N
43.13319,21.08992,332.5,0.44,0.38,2025-06-19,1145,N,VIIRS,l,2.0NRT,303.78,3.58,D
44.59892,20.981,335.02,0.45,0.39,2025-06-19,1145,N,VIIRS,l,2.0NRT,308.64,4.7,D
44.477,20.34272,327.23,0.54,0.51,2025-06-20,0001,N,VIIRS,n,2.0NRT,288.54,3.97,N
44.83101,20.69587,301.23,0.52,0.5,2025-06-20,0001,N,VIIRS,n,2.0NRT,289.32,0.62,N
44.99633,20.5377,305.55,0.54,0.51,2025-06-20,0001,N,VIIRS,n,2.0NRT,288.29,0.91,N
45.47989,19.26142,306.86,0.62,0.54,2025-06-20,0001,N,VIIRS,n,2.0NRT,287.23,1.69,N
45.47888,19.25939,308.88,0.63,0.54,2025-06-20,0001,N,VIIRS,n,2.0NRT,286.99,1.84,N
44.08044,22.10252,301.66,0.44,0.46,2025-06-20,0001,N,VIIRS,n,2.0NRT,290.88,0.72,N
44.29105,22.37734,331.58,0.38,0.36,2025-06-20,1123,N,VIIRS,l,2.0NRT,305.86,2.59,D
42.94361,21.56598,333.02,0.39,0.36,2025-06-20,1123,N,VIIRS,n,2.0NRT,301.13,4.11,D
44.28776,22.37828,336.1,0.38,0.36,2025-06-20,1123,N,VIIRS,n,2.0NRT,304.22,2.59,D
44.29034,22.37256,330.3,0.38,0.36,2025-06-20,1123,N,VIIRS,l,2.0NRT,301.74,1.41,D
44.59817,20.97715,336.85,0.39,0.36,2025-06-20,1123,N,VIIRS,l,2.0NRT,310.66,3.18,D
44.77245,20.59277,296.6,0.45,0.63,2025-06-20,2339,N,VIIRS,n,2.0NRT,283.98,0.46,N
44.73245,20.82496,298.27,0.44,0.62,2025-06-20,2339,N,VIIRS,n,2.0NRT,284.73,0.71,N
44.07977,22.1036,299.45,0.38,0.59,2025-06-20,2339,N,VIIRS,n,2.0NRT,287.22,0.68,N
44.07963,22.10227,298.08,0.38,0.59,2025-06-20,2339,N,VIIRS,n,2.0NRT,286.23,0.72,N
44.77837,20.5936,297.14,0.45,0.63,2025-06-20,2339,N,VIIRS,n,2.0NRT,285.05,0.46,N
43.74109,20.71784,298.84,0.44,0.62,2025-06-20,2341,N,VIIRS,n,2.0NRT,283.55,0.39,N
42.45972,21.78796,295.99,0.38,0.59,2025-06-20,2341,N,VIIRS,n,2.0NRT,282,0.48,N
44.07926,22.10473,297.58,0.34,0.56,2025-06-21,0122,N,VIIRS,n,2.0NRT,286.59,0.58,N
43.90707,21.51137,298.04,0.32,0.55,2025-06-21,0122,N,VIIRS,n,2.0NRT,281.84,0.31,N
44.6004,20.9755,309.84,0.59,0.53,2025-06-21,0122,N,VIIRS,n,2.0NRT,285.24,1.65,N
45.3001,20.07445,297.18,0.51,0.49,2025-06-21,0122,N,VIIRS,n,2.0NRT,281.87,1.15,N
45.29852,20.08075,302.24,0.51,0.49,2025-06-21,0122,N,VIIRS,n,2.0NRT,282.27,0.86,N
42.45882,21.79072,305.63,0.37,0.58,2025-06-21,0122,N,VIIRS,n,2.0NRT,280.65,1.1,N
45.26739,19.85727,344.29,0.54,0.42,2025-06-21,1106,N,VIIRS,n,2.0NRT,309.56,3.8,D
45.29902,20.08235,339.38,0.53,0.42,2025-06-21,1106,N,VIIRS,n,2.0NRT,309.18,7.08,D
44.86682,20.97836,333.16,0.5,0.41,2025-06-21,1106,N,VIIRS,n,2.0NRT,307.7,2.64,D
44.02473,21.66847,335.26,0.49,0.4,2025-06-21,1106,N,VIIRS,n,2.0NRT,294.42,4.34,D
