geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,geometry
SRBRGI3100001,Бела вода,Bela voda,"3101","4","70050",2017/02/01 01:00:00+01,POINT(602355.8574999999 4768881.1513)
SRBRGI3100002,Јовин кладенац,Jovin kladenac,"3101","4","70726",2020/07/16 13:14:52+02,POINT(588980.0687999995 4772783.7914)
SRBRGI3100003,Студени кладенац,Studeni kladenac,"3101","4","70726",2017/02/01 01:00:00+01,POINT(588209.2198000001 4773461.759400001)
SRBRGI3100004,Добра вода,Dobra voda,"3101","4","70726",2020/07/16 13:14:52+02,POINT(585903.4944000002 4775809.210000001)
SRBRGI3100005,Орлов кладенац,Orlov kladenac,"3101","4","70726",2017/02/01 01:00:00+01,POINT(584054.0625999998 4775843.543500001)
SRBRGI3100006,Хајдучки кладенац,Hajdučki kladenac,"3101","4","70467",2017/02/01 01:00:00+01,POINT(587743.1552999998 4774866.3029)
SRBRGI3100007,Црвена вода,Crvena voda,"3101","4","70688",2020/07/16 13:14:52+02,POINT(504266.50490000006 4773418.0723)
SRBRGI3100008,Водице,Vodice,"3101","4","70874",2017/02/01 01:00:00+01,POINT(471008.49069999997 4771091.4849)
SRBRGI3100009,Хајдучка вода,Hajdučka voda,"3101","4","90158",2017/02/01 01:00:00+01,POINT(476219.73429999966 4773865.382099999)
SRBRGI3100010,Чесма Меденовац,Česma Medenovac,"3106","4","70874",2017/02/01 01:00:00+01,POINT(470405.2394000003 4769841.5908)
SRBRGI3100011,Врело,Vrelo,"3101","4","70874",2017/02/01 01:00:00+01,POINT(458536.43730000034 4769547.142000001)
SRBRGI3100012,Буђавка,Buđavka,"3101","4","70874",2017/02/01 01:00:00+01,POINT(457867.7566999998 4774293.434800001)
SRBRGI3100013,Близнац,Bliznac,"3101","4","70874",2017/02/01 01:00:00+01,POINT(453938.06900000013 4772817.1008)
SRBRGI3100014,Ограђеница,Ograđenica,"3101","4","71188",2017/02/01 01:00:00+01,POINT(445588.86060000025 4768937.7722)
SRBRGI3100015,Барјактаревско врело,Barjaktarevsko vrelo,"3101","4","71188",2020/07/16 13:14:52+02,POINT(433862.36899999995 4768215.224400001)
SRBRGI3100016,Чукотско врело,Čukotsko vrelo,"3101","4","71188",2020/07/17 08:31:53+02,POINT(441070.2385 4769608.1711)
SRBRGI3100017,Турково врело,Turkovo vrelo,"3101","4","71188",2017/02/01 01:00:00+01,POINT(436490.3507000003 4773383.3104)
