id,ime_nkd,broj_u_centralnom_registru,kategorija,y,x,kratak_opis,geometry
"3",Споменички простор са спомен плочом стрељаним припадницима НОР-а на Каца камену,ЗМ 77,Непокретно културно добро,43.281554,22.844714,"Каца-камен је огромни вис на коме се диже десетак метара округла стена, ваљкастог облика, на самој српско-бугарској граници. Иза Каца-камена на бугарској страни спушта се окомита стена, која по средини има урезану долину. На овом месту 3. јула 1944. године убијено је од стране бугарских фашиста 11 сељака из Горњег Висока. Међу стрељанима била је и једна жена.",POINT(649672.8329196505 4793733.842933523)
"4",Зграда Завичајног музеја,СК 850,Непокретно културно добро,43.540812,21.710666,"Грађена је пре ослобођења Алексинца од Турака, највероватније с почетком XIX века. Зграда својим положајем заузима простор унутар дворишта по дубини парцеле, тако да је грађена слободно са свих страна. Има приземље и спрат са бондручком конструкцијом зидова, приближно правоугаоне основе и покривена је ћерамидом. Распоред просторија у приземљу и на спрату готово је истоветан, тако да се између две крајње просторије са стране, у средини јавља просторија са два огњишта (сарачана), који загревају крајње просторије. На спрату се дуж главне дворишне источне фасаде јавља трем у дрвеној конструкцији и доксатом, кога подухватају конзоле, ојачане лучним тајактама, тако да доксат у целини представља најинтересантнији део екстеријера ове куће у целини. Ова зграда је вредан пример народног градитељства на територији Алексинца као насеља, представља уникат.",POINT(557414.6795941694 4821119.191282861)
"5","Грађанска кућа-Градска вила у ул. др. Тихомира Ђорђевића, бр. 24",СК 854,Непокретно културно добро,43.542252,21.705681,"Зграда поседује локацију у оквиру централног градског језгра на катастарској парцели бр. 942. Саграђена је 1912. године као породична кућа за становање, тако да по свом склопу и изгледу има карактер градске виле. Састоји се из приземља и широког таванског простора, као и подрума у једном делу куће по дубини дворишта. Распоред просторија одвија се око централног унутрашњег предсобља, које је у вези са застакљеним улазним тремом са источне стране, изведеним у дрвеној конструкцији, са декоративним елементима. У спољној архитектури долази до изражаја атрактивност композиције у целини, са кровом решеним на две воде, уз изражене калкане на делу уличне и дворишне фасаде. Успелом архитектонском решењу доприносе и поједини елементи ентеријера, у првом реду врата, којима се из предсобља улази у просторије, изведена у техници ручне израде са резбарењем појединих површина и детаља. Објекат је вредан пажње не само са гледишта његове архитектуре просторно амбијенталних вредности у облику градске виле, већ као и сведочанство развоја занатства са остваривањем квалитетних уметничких обрада.",POINT(557010.5835867106 4821275.687405935)
"7",Црква Св. Арханђела Михаила и Гаврила,СК 312,Непокретно културно добро,43.243237,21.434586,"Са локацијом на око 20 метара удаљена од магистралног пута који повезује Ниш преко Топлице са Приштином, у правцу југа, недалеко од Прокупља, а на благо узвишеном земљишном платоу, уздиже се парохијска црква села Конџеља, посвећена светим арханђелима Михаилу и Гаврилу, освећена 1903. године. Саграђена је по ослобођењу Топлице од Турака, с краја XIX века као култно место, на коме се по народном предању налазила стара богомоља. У основи црквена грађевина има облик триконхоса са симетрином олтарском апсидом у виду тролиста и бочним певницама са стране, чиме се у основи ствара крстобразно решење. Над пресеком крова крста у основи, издиже се централно кубе са сплепом лантерком, а остала четири кубета распоређена су директно по, линији кракова. Над улазом у цркву са западне стране, диже се масиван звоник. Архитектура цркве остављена је у еклестичком духу прелазног периода, када се први пут по ослобођењу од Турака тежило на прихватању европских утицаја.",POINT(535282.3628960695 4787918.099559015)
"8",Зграда у Ул. Обилићев венац 18,СК 466,Непокретно културно добро,43.316526,21.89201,"Назив „Блок Обилићев венац“ односи се на онај грађевински фонд једне сачуване урбане целине Ниша оивичене улицама Обилићев венац, Југ Богдановом и Тргом Павла Стојковића из последњих година XIX и првих деценија ХХ века. У овом простору истиче се по својим изузетном архитектонско-урбанистичким вредностима објекат у улици Обилићев Венац, 18. Подигнут је у необарокном стилу, вероватно после првог светског рата као правна палата Јужноморавске банке у Нишу. Године 1933. зграду је купио познати нишки трговац Влада Пантић и извршио извесне адаптације у циљу поделе спратног дела у две посебне стамбене јединице, док је приземни простор прилагођен трговачком садрђају. Композиционо решење габарита, његовог ентеријера, декоративна обрада фасадних елемената, рељефних мотива и детаља има изузетно меесто у архитектонском изразу Ниша. Најновијим ширим конструктивним захватима и ревитализацијом објекта у целини за потребе Ниш експорта Ниш, изведеним 1979.-1980. године објекат је добио шири друштвени значај и јавни садржај.",POINT(572332.1188756115 4796351.731426782)
"10", Археолошко налазиште Бубањ,АН 43,Непокретно културно добро,43.320765,21.828666,"Непосредно поред Ниша, на високој тераси леве обале Нишаве, налазе се остаци праисторијског насеља. Природно заштићено, насеље је контролисало једну од најважнијих саобраћајница где су се спајали путеви севера и југа. Насеље је настало крајем неолита, у другој половини трећег миленијума п.н.е. продором нових етничких групација са истока, које су битно утицале на појаву нових културних садржаја. Стратиграфија насеља прати се кроз три јасно уочене фазе, које карактеришу бројни налази керамике, оруђа, оружја и стамбених објеката већих димензија. Насеље је изузетно значајно за проучавање историјскох процеса, који су се дешавали на прелазу из неолита у млађе метално доба, а непосредно је повезано са савременим насељем на Хумској Чуки, тако да је према овим стаништима прелазити период и називан Бубањско – Хумском групом.",POINT(567190.9290078299 4796769.578074191)
"11",Ужи амбијент са чесмом Љубе Дидића,СК 766,Непокретно културно добро,43.64288,21.87792,"Амбијент са простором на коме стоји лоцирана Дидићева чесма обухвата део на раскршчу улица Драговићеве, Хајдук Вељкове и Врелске у склопу средишњег урбаног језгра Сокобање који има чисто стамбени карактер. Чесма је подигнута 1926. године, посвећена Љуби Дидићу, борцу за народна права и слободу, који је осуђен од стране преког суда у Зајечару на смрт стрељањем на Краљевици 7. новембра 1883. године. Чесма има облик вертикалне масе озидане од камена пешчара са блоковима правилног облика. заутима положај на теренској узвишици према Озренском путу, односно Лептерији, тако да посматрано формално директно дуж улице Драговићеве, остварује једну масу доминантну, карактеристичку просторну визуру којом се завршава видик у односу на ову улицу као једну од централних саобраћајница. ",POINT(570807.4010647731 4832583.964763365)
"13",Споменик српским и француским војницима од 1912-1918,СК 913,Непокретно културно добро,44.076619,22.09781,"Спомеником је обележена смрт 94 бораца палих у балканским ратовима и у Првом свеетском рату, међу којима је и 15 француза. Сем имена палих ратника других података о њиме нема. Споменик је подигнут 1928. године. Споменик је постављен на ширем квадратном постољу. Састоји се из два дела: четворостране призме висине 2 м. и пирамиде постављене изнад. Зидан је од углачаних камених блокова, лепљених цементним малтером. Стабилност конструкцији дају камене плоче, једна на постољу а друга на врху призме, које носе читав терет. Укључујући бетонску основу споменик је висок 4 метра. На предњој страни према улици уграђена је правоугаона мермерна плоча на чијој су белој основи урезана имена палих ратника. Испод је мања правоугаона плоча са текстом о дародавницима.",POINT(587902.7776910333 4880968.637784492)
"14",Магистрат,СК 55,Непокретно културно добро,44.84434,20.413274,"Магистрат је у Земуну основан 1751. године, а 1755. је добио прву градску кућу. То је била приземна барокна зграда са мансардом, која је служила као магистратска зграда до 1832, а од тада су у њој становали магистратски чиновници. Изгорела је у пожару 1867. године. Од 1823. до 1832. године поред старе зграде саграђена је, по плановима земунског градитеља Јозефа Фелбера, нова класицистичка  магистратска зграда. Зидана је од тврдог материјала, са међуспратним сводним барокним конструкцијама у приземљу и архитравним на спрату. Обликована је симетрично, са плитким средишњим ризалитом који се завршава тимпаноном. Има подрум, приземље и спрат. Диспозиција просторија у двотрактној шеми, произашла је из састава и садржаја Магистрата који је био подељен на више службених одељења. Зграда је 1836. године, према плановима које је потписао градски канцелист  Крижанић, проширена доградњом на месту некадашње куће Милоша Урошевића. Новоизграђени део изменио је првобитну чистоту класицистичке концепције и поред тога што су доследно поновљени грађевински и обликовни елементи старијег дела зграде. Земунски Магистрат био је смештен у новој згради до 1871. године, када је она предата на коришћење Суду, који је ту боравио дуги низ година. У историјском развоју Земуна, зграда представља сведочанство његовог прогресивног развоја. Својим положајем означава стару регулацију, а обимом једну од највећих зграда старог Земуна. Такође, представља најчистији примерак класицизма у архитектури Старог језгра Земуна и материјално сведочанство развоја земунске општинске управе чији континуитет досеже до 1751. године.",POINT(453631.97254172235 4965826.205288472)
"16",Зграда Народног купатила,СК 1004,Непокретно културно добро,43.835341,22.115945,"Зграда народног купатила изграђена је између 1927. и 1929. године. Зидана је од камена и опеке. Западни проширенији део зграде је виши и покривен двосливним кровом са калканима на северној и јужној страни. На северној (страни) зиду налази се већа правоугаона ниша. Део стрехе код калкана украшен је у стилу алпских кућа полукружним нарецканим даскама. На ивици крова где се састају две воде раније је постављен украсни шиљак са јабуком. Део купатила са кабинама покривен је посебним двосливним кровом. Народно купатило у Планиници имало је значајан утицај на здравствено стање, просвећивање и одржавање личне хигијене овдашњих мештана. ",POINT(589717.2036044964 4854189.95148729)
