id,ime_nkd,broj_u_centralnom_registru,kategorija,y,x,kratak_opis,geometry
"1",СПЦ Ваведења Богородице,СК 1383,Непокретно културно добро од изузетног значаја,42.591443,20.584878,"Црква Ваведења Богородице у Долцу део је изузетно сложеног, утврђеног комплекса са зидинама и кулама, и некада је припадала манастиру, који је данас угашен. Први помен манастира у Долцу налазимо у турском попису из 1455. године, што доказује да је на месту данашњег утврђења заиста постојао средњевековни манастир.  Црква Ваведења Богородице саграђена је у 14. веку као мања једнобродна грађевина правоугаоне основе са полукружном апсидом и полуобличастим сводом. Грађена је ломљеним каменом, а фасаде су јој омалтерисане. Двосливног је крова и покривена каменим плочама. Скромна је и једноставна по облику, а због конфигурације терена темељи су јој подзидани каменим соклом. Претпоставља се да је имала припрату, мада археолошка истраживања нису то потврдила.  Зидне слике су веома оштећене, а сачувана су три слоја фресака. Први слој настао је крајем 14. или на самом почетку 15. века. Дело су веома способног сликара, а можда јеромонаха Макарија, једног од најбољих српских сликара тога доба. Карактеристично је за ово сликарство мека моделација форме и светли окер са руменилом у инкарнату, без присуства зеленог тона у сенкама. Према натпису у олтарском простору црква је обновљена 1619/20. године. Том приликом насликан је други слој зидних слика којим су прекривене првобитне фреске. Западно од цркве, подигнут је у 18. веку нови манастирски конак у којем ће касније радити српска школа, једна од најстаријих на овим просторима. Живопис из 17. века понавља ликовне особине старијег слоја и одликује се прецизним цртежом, профињеним колоритом и меком моделацијом. Поједине зидне слике из 17. века пресликане су у 19. веку.  Материјални остаци зидина са кулама, који представљају окружење скромне манастирске цркве у Долцу, а уз ово и спроведена археолошка истраживања, сведоче да је овде заступљено неколико културних слојева и да је овај култни локалитет веома стар. Археолошки налази потичу од античког до најновијег доба. Значај ових налаза не умањује значај саме цркве, а посебно њеног живописа, који поред осталог има и драгоцене историјске записе са поменом многих локалних личности. Последњим конзерваторским захватима, изведеним 1995. године, архитектура и зидне слике цркве Ваведења Богородице у Долцу консолидовани су у вредну целину, која даје допринос познавању културних и уметничких прилика на овим просторима.",POINT(465940.74942004203 4715530.36366599)
"2",СПЦ Св. Димитрија-Доња Црква,СК 1388,Непокретно културно добро од изузетног значаја,42.631957,20.625609,"Међу столетним храстовима на гробљу у селу Пограђе налази се црква св. Димитрија или св. Врача, познатија као Доња црква. У стручној литератури ова црква се назива св. Врача, а св. Димитрија се зове што је на Митровдан храмовна слава ове цркве. То је једнобродна грађевина правоугаоне основе чије су димензије: дужина 5,87 м, ширина 4,09 м, и висина 4 м. Засведена је полуобличастим сводом. Кров је двосливан и покривен каменим плочама. Олтарска апсида је споља и изнутра полукружна. Нема припрате. Ниво пода је нижи за 17 цм од нивоа околног тла. Структура зидова је од сиге, притесаног камена и малтера.  У унутрашњости цркве живопис је делимично очуван. Због разрушеног крова и атмосферилија, фреске су веома избледеле, па се претежно само распоред може утврдити. Живопис је делимично очуван на источном зиду у ниши проскомидије, источном делу северног зида и на јужном зиду где су нешто боље очуване. Цртеж је доста добар, а колорит свеж и контрастан. Према стилским и уметничким одликама живопис би могао да се веже за другу половину 16. века.  На старом гробљу око саме цркве налази се неколико десетина камених надгробних споменика и плоча са више столетних стабала храста и граба.  До 1964. године црква је била у рушевинама. Те године извршени су архитектонско-сликарски рестаураторски и конзерваторски радови.",POINT(469302.4864455457 4720013.493936611)
"6",Црква Св. Николе у Чабићима,СК 1386 ,Непокретно културно добро од изузетног значаја,42.597001,20.714181,"Цркву св. Николе у Чабићу подигли су у 17. веку њени мештани. Грађена је од притесаног камена и сиге као једноставна грађевина правоугаоне основе са полукружном апсидом, полуобличастим сводом и двосливним кровом, покривеним каменим плочама. Не поседује архитектонске ни декоративне украсе нити отворе зидних површина, изузев улазних врата. Имала је накнадно дозидану мању припрату. Својим једноставним и функционалним обликом црква представља једну од низа сеоских цркава подигнутих у турско доба на Косову и Метохији.  Зидне слике су нестале у другој половини 17. века и скромнија су ликовна остварења. Иконографски репертоар садржи у себи велики број композиција посвећених св. Николи. У композицијама је наглашен цртеж, препуне су јаког контраста светлог и тамног и веома сировог колорита. Декоративни карактер овог сликарства подвучен је и наглашен контурном и структурном линијом у драперији. Веће уметничке вредности остварене су у сликању појединачних ликова.  Црква је поседовала богату збирку икона из 17. века, које се данас чувају у ризници манастира Дечана.  Конзерваторско-рестаураторским радовима заштићене су 1969. године архитектура и зидно сликарство цркве св. Николе у Чабићу.",POINT(476551.6833479515 4716103.608995745)
"127",Партизанска болница,СК 493,Непокретно културно добро од изузетног значаја,43.383895,19.638188,"На простору где се данас налазе рушевине партизанске болнице у Пријепољу и шире, 4.децембра 1943. године Прва пролетерска и Прва шумадијска бригада водиле су жестоке борбе против немачке војске претрпевши велике губитке.  Од материјалних остатака из рата конзервиране су рушевине партизанске болнице. У истом комплексу постављен је монументални споменик, рад вајара Лојзе Долинара.",POINT(389693.88401827315 4804347.630159097)
"28",Црква Св. Николе,СК 1409,Непокретно културно добро од изузетног значаја,42.160388,20.874704,"Црква Светог Николе у Драјчићима је једнобродна грађевина правоугаоне основе димензија 7,80 х 4,70 метара. Олтарска апсида се налази на источној страни и полукружна је споља и изнутра. Црква је сазидана од камена али је премалтерисана и прекречена. Пресведена је полуобличастим сводом а кровни покривач је од камених плоча. Апсида има, са унутрашње стране, три нише од којих је средња већа и на којој је једноделни прозор. Олтарски простор је обележен повишеним подом у источном делу грађевине. Поред уског прозора у олтарској апсиди још два се налазе у јужном зиду док је у западном зиду морао бити улаз. На том месту је широки прозор који повезује простор цркве са простором припрате која је накнадно зидана, солидне је градње и димензија 6,75 х 4,70 метара.  Живопис је скоро потпуно сачуван али је на темену свода прилично пропао због прокишњавања. Иако је он обновљен у трећој деценији ХVII века, иконе са иконостаса показатељ су да би и првобитне фреске могле потицати са самог краја ХVI столећа. Конзервација царских двери, деизисне табле и осам икона показала је да су иконе рад призренских иконописаца.",POINT(489649.38085570803 4667591.766822756)
"30",Новопазарска тврђава  са старом чаршијом и комплексом око Алтин-алем џамије,ПКИЦ 22,Непокретно културно добро од изузетног значаја,43.138984,20.517093,"У овиру заштићене целине у Новом Пазару посебно се истичу својим споменичким или амбијенталним својствима следеће целине и објекти:  1. Новопазарска тврђава  2. Стара чаршија, настала крајем XIX и почетком XX века.   У оквиру чаршије следећи објекти имају својство споменика културе:   а/ Хамам из XV века   б/ Три пекаре у улици Првог маја   в/ Стамбени објекат у блоку II   У оквиру чаршије следећи објекти имају споменичка својства   а/ Арап џамија   б/ Хан “Граната”   в/ Стамбени објекат у улици Првог маја бр. 71   У оквиру чаршије следећи објети имају амбијенталне вредности   а/ Алтун-Алем џамија са околином   б/ Стамбени амбијент око Гази-Синан-бегове џамије",POINT(460727.8476696685 4776362.085777211)
"35",Комплекс војно-техничког завода,ПКИЦ 74,Непокретно културно добро од изузетног значаја,44.007228,20.912454,"У оквиру комплекса постоји 151 објекат. Следећи објекти су од посебне вредности: Стара тополивница (сада музеј “Стара ливница”), Велики димњак, Стара чаурница, Машинско/механичка радионица, Управна зграда, Стан управника завода (сада пословни објекти), Стара краљевска војнозанатлијска школа (сада Друга техничка школа), Интернат војнозанатлијске школе (сада Политехничка школа “ВИШ”), Артиљеријска радионица (сада Производна хала), Стара енергетика, Дечје обданиште (сада центар за услуге), Стара амбуланта (сада Зграда синдиката), Артиљеријска подофицирска школа, Официрски станови (сада стамбена зграда), Застава безбедност (сада пословни објекти), Радионице муниције и пушкарнице (сада производне хале), Каросерија-радионица за израду шрапнела (сада ковачко браварска радионица ), Пресерај, Произвдна хала Р.А.П. (некада ауторадионица), Кајин магацин, Стара сенара (сада Централни магацин алата), Коњушница (сада магацин боја и лакова), Чаурница и лабораторија за пешачку  муницију (сада Објекат А, Ватрогасна кула), Зграда амбуланте (сада објекат Г), Управна зграда пиротехнике и др.  Зона 1-Војно-технички завод  Стара Тополивница (Музеј “Стара ливница”), најстарија зграда унутар Завода, подигнута 1882. Израђена по пројекту Тодора Селесковића. Завод за заштиту и научно проучавање споменика културе НРС Решењем бр. 309/53, од 29. Априла 1953, утврдио је Тополивницу за непокретно културно добро-споменик културе. Категорисан је као споменик културе од великог значаја (“Сл.Гл.СРС” број 14/79). Велики димњак, стари димњак у непосредној близини Ливнице, припадао је старој котлари. На каменој плочи сокле, налази се текст. “Сазидано под Владом Краља Милана 188(2-9)” Завод за заштиту и научно проучавање споменика културе НРС Решењем бр. 309/53, од 29. априла 1953, утврдио је Велики димњак за непокретно културно добро-споменик културе. Категорисан је као споменик културе од великог значаја (“Сл.Гл. СРС”број 14/79).  Стара Чаурница је објекат где је била инсталирана прва електрична централа у Србији. Завод за заштиту и научно проучавање споменика културе НРС Решењем бр. 309/53, од 29. Априла 1953, утврдио је Стару чаурницу за непокретно културно добро-споменик културе.  Категорисан је као споменик културе од великог значаја (“Сл. Гл. СРС “број 14/79).  Машинска/механичка радионица је грађена фазно у периоду од краја деветнаестог века до првих година Другог светског рата. Зграда је обављала функцију фабрике пушака и фабрике чаура по пројекту Тодора Селесковића и машинског инжењера Миросављевића.  Управна зграда, монументална зграда подигнута 1926. године, у стилу еклектике. Простор испред Управне зграде формиран је као мали трг. На њему је некада стајао монументални споменик посвећен Краљу Александру Првом. После рата на његово место постављен споменик “Ливцу” у духу социјалистичког човека.  Стан управника Завода саграђен је од 1928.-1929. године. Зграда је полигоналне основе са високим подрумским простором. Комфорног је ентеријера, са саременим простором за становање.  Стара краљевска војнозанатлијска школа (сада дрга техничка школа), Објекат је саграђен у две фазе 1913. и 1922. У првој фази је изграђено приземље, касније је добила и спратну надградњу.  Интернат војнозанатлијске школе (сада Полотехничка школа “ВИШ”), изграђена је на ободној линији фабричког круга, наменски је пројектована и изграђена зграда интерната (1925.-1927.). Раскошни декоративни ризалитет у центру посебно се истиче.  Артиљеријска радионица (сада Производна хала), саграђена на месту ливнице бронзаних  топова, у  маниру најрепрезентативнијих објеката Завода. Зграда је била дело инжењера Јуришића и Јанчића.  Стара енергетика је дело Фрање Варшека из Љубљане. Зграда је подигнута на високом соклу, а визуелно је предвојена на два дела.  Дечје обданиште (сада Центар за услуге). Овај објекат са овом функцијом је подигнут у периоду од 1925.-1928. године. Зграда је издужене правоугаоне основе, са нижим соклом од неправилних тесаника са главним корпусом зиданим фугованом опеком.  Зона 2-Пиротехника: Чаурница и лабораторија за пешачку муницију (објекат А), Ватрогасна кула, Зграда амбуланте (Објекат Г),   Управна зграда Пиротехнике (Пословни простор).",POINT(492981.92936916027 4872679.364343077)
"38",Целина у Горњој Добрињи,ПКИЦ 26,Непокретно културно добро од изузетног значаја,43.960134,20.080052,"Целину чине: црква св. Петра и Павла, чардак кнеза Милоша Обреновића и више споменика и надгробних плоча у порти цркве. Црква је једнобродна грађевина , са припратом и олтарском апсидом, споља деветостраном а изнутра кружном. Наос чине два травеја оивичена пиластрима, који се завршавају профилисаним капителима. Црква је зидана од правилно клесаних камених квадера, са скромном скулптуралном декорацијом осим лука западног портала који је богатије украшен биљним орнаментима. Иконостас је рад Ђорђа Крстића из 1833. док је црква саграђена 1822. г. као задужбина кнеза Милоша.  Милошев чардак из 1860.г. саграђен је на косом терену, са чесмом у нижем делу, што је специфичност у односу на остале чардаке Западне Србије. У приземљу је смештен резервоар за воду из којег преко два камена валова вода отиче у камено корито. Спрат чини једна просторија чији су зидови од храстових греда , изспуњени шашовцима. Висок и стрм кров са дубоким стрехама покривен је шиндром.",POINT(426194.4986739252 4867856.344459013)
"46",Комплекс пивница,ПКИЦ 10,Непокретно културно добро од изузетног значаја,44.226084,22.474123," Привредни сезонски тип насеља са очуваних 39 зграда пивница налази се око 2,5 км. западно од манастира Буково. Зграде пивница су рађене од различитог материјала, па се разликују по типу и величини. Изграђене су од прве половине XIX века до првих  деценија XX века. Зграде пивница распоређене су на обе стране асфалтног пута којим се из Београда долази у Неготин.   У овом комплексу 4 зграде су подигнуте на спрат, две зграде пивница су озидане каменом док је већина осталих зграда као горњи делови зграда на спрат изграђене од брвана. Четворосливни кровови свих зграда покривени су ћерамидом. Код појединачних приземних објеката са једне стране стрехе су јаче проширене да наткривају мање тремове.   У комплексу штубичких пивница раније је било око 400 зграда. Напуштање пивница и нагло пропадање пивница почело је у току другог светског рата и настављено после рата. На више места поред постојећих зграда пивница јасно се распознају трагови порушених зграда. У близини пивница скоро сва домаћинства из Штубика, који је одавде удаљен око 15 км. имала су своје винограде. Овде су били власници појединих зграда пивница и неки људи иа Јасенице и Шркамена.",POINT(617737.1613835531 4898040.522785737)
"50",Манастир Раваница,СК 1023,Непокретно културно добро од изузетног значаја,45.128458,19.78449,"Манастир Врдник – Раваница са црквом посвећеном Вазнесењу (раније св. Јовану Крститељу). Тачно време настанка није утврђено. Извори из прве половнине XVIII века сведоче да је црква подигнута у време београдско-сремског митрополита Серафима у другој половини XVI века. Поуздани подаци о манастиру потичу из 1566-69. У обнови Врдника коју су извели монаси манастира Раваница у Србији (1697) обновљена је стара касносредњовековна црква од камена крстообразне основе са дрвеним звоником и у њу су смештене мошти кнеза Лазара, које су са собом донели пребегли раванички калуђери, који су овамо дошли из Сентандреје. Од тада се манастир назива и Раваницом.    Данашња класицистичка црква саграђена је између 1801-11. а две године касније срушена је стара и на њеном месту постављен је камени крст.    У првој половнини XVIII века саграђени су тространи конаци, који су преправљани и дозиђивани све до почетка XIX века. Иконе на иконостасу старе цркве сликао је 1743. Станоје Поповић у зографском стилу.  Аутор сликарских радова на иконостасу нове цркве и зиданих слика на сводовима из 1853. је Димитрије Авамовић. Зидне слике у манастирској трпезарији радио је 1771-76. Амвросије Јанковић.    У другом светском рату манастир је остао неповређен али су из конака однесене све покретне ствари.  ",POINT(404413.547447704 4997939.223993397)
"53",Остаци манастира Св. Петра и Павла,СК 1382,Непокретно културно добро од изузетног значаја,42.621291,20.675049,"На једном ћувику планине Петровица (кота 695), неколико километара од села Добра Вода, налазе се остаци цркве св. Петра и Павла, једини остаци од некадашњег средњевековног манастира. Познатија је као Петровица. Село Добра Вода (10 км источно од Клине) помиње се 1330. године у Дечанској хрисовуљи као Уњемир и тај назив је задржало све до I светског рата када је преименовано у Добра Вода. При цркви св. Петра и Павла био је замонашен један од најпознатијих средњевековних пустињака Петар Коришки, који је живео крајем 13. и почетком 14. века и који је рођен у овом селу. У 14. веку црква је била темељно обновљена, вероватно у четвртој деценији када је поклоњена манастиру Дечани. Црква је била у непознато време опустошена да би у 16. веку била поново обновљена. Ове фазе на цркви јасно се уочавају. Најстарији део из 14. века је данашњи нартекс који то првобитно није био. Уствари, то је био наос чија се ширина тачно одређује пиластрима са луком између њих У 16. веку цркви је највероватније придодат наос са олтаром покривен полуобличастим сводом. Са западне стране је дограђен егзонартекс, који има приземље и спрат такође покривен сводом. Олтарска апсида је споља и изнутра полукружна. Димензије цркве су: дужина 19,58 м, ширина 6,43 м, висина наоса 5,50 м, а висина нартекса 6,05 м. Зидана је од притесаног кречног камена, сиге и малтера. Пластични украси на цркви нису очувани. Према разбацаним фрагментима стуба, каменог орнамента и профилисане стопе стуба, види се да је црква пре презиђивања била украшена низом рељефних украса. Ови фрагменти носе све одлике которске клесарске радионице, која је радила у Дечанима и манастиру св. Арханђели код Призрена. У стилском погледу и по мотивима ови капители припадају провинцијској варијанти готике.  У унутрашњости цркве фрагментарно је очуван живопис на источном средњем делу. Током извођења конзерваторских радова 1966/67. године откривена је фреска св. Петра из краја 13. и почетка 14. века на јужном ступцу и потрбушју лука који дели наос од нартекса. Остале фреске су из 16. века. Иако оштећене уочавају се фигуре св. Богородице Оранте, св. Романа и непознатог светитеља. Код старијег сликарства преовлађују контрастне боје и експресиван цртеж.",POINT(473351.6848852578 4718812.372638166)
"59",Српска православна црква Св. Николе,СК 1052,Непокретно културно добро од изузетног значаја,44.905966,19.931337,"Православна црква у Сибачу саграђена је у другој половини XVIII века и посвећена св. Николи. То је једнобродна грађевина са полукружном олтарском апсидом и призиданим барокним звоником. Фасаде су једноставно обрађене и рашчлањене широким ниским пиластрима од којих неки имају при врху украс у виду грозда. Иконостас, рад Георгија Стојановића, пренесен је из Доње цркве из Сремских Карловаца и уклопљен у олтарску преграду ове цркве 1767. године. Зона Распећа са иконама Богородице и Јована Богослова, медаљони по стилским карактеристикама припадају другом мајстору и каснијем времену.   Престоне иконе, низ Апостола и Пророка, царске двери и иконе у соклу насликао је Георгије Стојановић, најизразитији представник зографског сликарства прве половине XVIII века. Овај репрезентативни пример зографског стила уједно спада у најстарије сачуване сликарске радове на овој територији.  Зидне слике су рад Константина Пантелића, реномираног сликара XIX века. Резбарија на иконостасу показује да је рађена у два маха. Први део, око Стојановићевих радова, потиче са почетка XVIII века и стилски се везује за камену пластику портала и прозора манастира Крушедола и Велике Ремете. Остала пластика, са појавом старијих рокајних елемената припада другој половини XVIII века.  Црква је руинирана, али је у целини сачувала аутентичност, те је значајна и као споменик на коме се може проучавати уметност XVIII и XIX века.",POINT(415635.3297707732 4973059.951388413)
"60",Манастир Кувеждин,СК 1045,Непокретно културно добро од изузетног значаја,45.127354,19.511216,"Манастир Кувеждин са црквом Св. Саве и Симеона Немање, према предању основао је Стеван Шиљановић. Први поуздани подаци о манастиру потичу из 1566-69. године.    Првобитна црква са два кубета, коју су градили мајстори са приморја, замењена је 1816. године новом, класицистичком, чији је звоник изграђен 1803.     Тростране зграде манастирског конака, грађене током XVIII века, коначно су уобличене 1810. Иконостас старе манастирске цркве, рад Јанка Халкозовића из 1772., уступљен је у првој половини XIX века цркви и Опатовцу. Иконостас у новој цркви и зидне слике радио је 1848 – 1853. године Павле Симић.    Барокна капела на гробљу подигнута је 1788. године.  У другом светском рату манастир са црквом је разрушен и опустошен. Иконе са иконостаса Павла Симића налазе се у манастиру Новом Хопову. Манастирска црква делимично је обновљена.",POINT(382921.31616668194 4998176.061598792)
"67",Сретењска црква,СК 1027,Непокретно културно добро од изузетног значаја,45.115883,19.944094,"Сретењска црква у селу Крушедолу, раније женски манастир, основала је и изградила деспотица Ангелина Бранковић, касније замонашена и позната као Мајка Ангелина, између 1512. и 1516. године. Тачна година градње до садас није утврђена, претпоставља се да је грађен после манастира Крушедола, када је пристигла већа материјална помоћ московског великог кнеза Василија. Кроз цео XVI и XVII век манастир остаје активан о чему говоре бројни подаци сачувани у историјским документима. Како је дошло до укидања женског манастира и претварања цркве у парохијску сеоску цркву, поуздано се не зна, али је познато да су већ у XVIII веку цркву опслуживала два свештеника.    Црква је једнобродна грађевина веома издужене основе, са дозиданом спољном припратом и звоником, што говори о сталним и већим преправкама. У њој је сачуван фреско живопис из 1634. године, откривен приликом конзерваторских радова 1961. године. Живопис је очуван на зидовима старе припрате, бочним зидовима наоса, зиду и луку који одвајају олтарски простор од наоса и у олтару.    Иконе на иконостасу обновљене цркве сликали су 1763. године Димитрије Бачевић и Теодор Димитријевић Крачун. Иконостас је изразито квалитетан пример барокне дуборезне олтарске преграде, а сликарство изузетно дело српске уметности прве фазе прелазног периода. Заједно са манастиром Крушедолом, ова црква чини јединствену целину уметничких и духовних вредности, те је тако треба посматрати и вредновати.  ",POINT(416946.3919322109 4996365.936135271)
