id,ime_nkd,broj_u_centralnom_registru,kategorija,y,x,kratak_opis,geometry
"9",Родна кућа Јована Стерије Поповића,СК 1098,Непокретно културно добро од великог значаја,45.120438,21.295256,"Налази се на Тргу Саве Ковачевића бр. 11. Саграђена је 1868. на месту старије породичне куће из XVIII века у којој је рођен Јован Стерија Поповић (1806-1856). Има приземље са локалом, спрат са стамбеним просторијама и дворишни део, који је касније саграђен. Кућу је 1871. Стеријин брат Ђорђе Поповић наменио за потребе младих књижевника, што је ос-тварено тек 1974. када је додељена Књижевној општини Вршац. Данас се у њој одржавају књижевне вечери, промоције и изложбе. Јован Стерија Поповић, познати књижевник и комедиограф, опробао се у различитим врстама књижевног стваралаштва, али је најпознатији по свом комедиографском раду, са читавом галеријом реалистичних ликова, који су често карикирани, изражавају се фолклорним језиком, али остварују аутентичну слику менталитета војвођанског ""грађанства"". Док је био на функцији начелника Министарства просвете Стерија је извршио пионирски рад на организовању школства, дао је иницијативу за оснивање академије наука, народне библиотеке и музеја, суделовао је у организовању првог београдског позоришта, а посебно је значајан његов напор на проучавању и очувању ку-лтурног наслеђа Србије. Предложио је Совјету да се донесе Уредба о заштити старина, па је Србија Стеријином заслугом донела први правни акт о заштити споменика културе. Конзерваторски радови изведени су 1981.",POINT(523221.885530877 4996372.074739193)
"12",Зграда Старог начелства-зграда Универзитета,СК 333,Непокретно културно добро од великог значаја,43.32299,21.893597,"Зграда некадашњег нишког Начелства изграђена је 1886. године као први јавни монументални објекат Ниша после ослобођења од Турака, по пројекту непознатог бечког архитекте. Обухватала је данашњи угаони део зграде Универзитета са приземљем и спратом дуж кеја Мије Палигорића и Добричке улице.  Дограђивана је 1930. године када је старом делу дозидан други спрат, а 1935. године добила је данашњи изглед доградњом главног улазног дела из Шуматовачке улице. Дограђивање је извршено по пројекту београдског архитекте Петра Гачевича за смештај администрације Моравске бановине, чије је средиште било у Нишу. Данас грађевина представља у целини један затворен блок са унутрашњим двориштем, а у погледу спољашњих карактеристика које су наведеним дограђивањима не само остале ненарушене, већ и складно обједињене у једну целину у односу на првобитно стање осећа се утицај еклектичке ренесансе. У свему, својим положајем, величином и стилским обележјем, зграда представља најмонументалније и нарепрезентативније архитектонско остварење Ниша уопште.",POINT(572453.1258025722 4797070.968967085)
"15",Родна кућа народног хероја Светозара Марковића у Тарашу,СК 1201,Непокретно културно добро од великог значаја,45.468284,20.185851,"Светозар Марковић - Тоза рођен је 1913. у Тарашу, а члан КПЈ био је од 1936. Као организациони секретар Покрајинског комитета руководио је 1941. борбом против окупатора у Војводини. Новембра 1942. пао је у руке мађарских фашиста и обешен у Новом Саду фебруара 1943. Кућа Светозара Марковића - Тозе има две собе према улици и покривена је двоводним кровом. Обележена је спомен-плочом.",POINT(436357.47371561016 5035295.30239743)
"18",Дворац барона Јовановића,СК 1139,Непокретно културно добро од великог значаја,45.087476,21.446919,"Изградња дворца датирана је у прве деценије ХIХ века. Државно имање у Сочици купио је 1832. Чико Силаш. После 1857. припадала је др Нестору Месаровићу и његовој деци, а потом је посед наследио Бела Мајтењи. Класицистички је компонована приземна грађевина правоугаоне основе. Главна фасада решена је симетрично, средишњег ризалита истакнутог атиком на чијем врху је украсна ваза. Зидно платно наглашавају хоризонталне фуге. Дворишна фасада је скромније изведена, а може се претпоставити да је трем касније дограђен. Заштитне решетке од кованог гвожђа на прозорима су декоративне, док је примењени мотив гирланде орнамент приписиван класицизму. Није било конзерваторских радова.",POINT(535170.4141224071 4992765.0913574165)
"19",Српска православна црква Св. Петра и Павла,СК 1129,Непокретно културно добро од великог значаја,44.90563,21.431087,"Бела Црква је 1777. добила од Аустријске царевине статус слободне војне вароши, а изградња нове барокне цркве на старим темељима трајала је од 1774. до 1780, када ју је осветио епископ вршачки Викентије Поповић. То је једнобродна грађевина са троделном апсидом тролисне основе, плитко испуштеним певничким просторима и звоником изграђеним над западним травејом цркве. Спољни украс је уобичајен: сокл и кровни венац деле фасаду хоризонтално, а пиластри и профилисани оквири за прозоре вертикално. На западном прочељу изграђен је забат са волутама. У апсиди су три полукружно засведене нише, а у наосу и над хором изведени су сферни сводови. О изради иконостаса и зидних слика говори запис на северном зиду, изнад средњег прозора: дрворезбар Аксентије Марковић урадио је конструкцију 1793, Павел Ђурковић будимски сликар насликао је иконе за време столовања Јосифа Јовановића Шакабенте, епископа вршачког, а Симеон Јакшић, житељ Беле Цркве, осликао је зидове и сводове 1810. Велику обнову комплетног сликарства иконостаса и зидова, са позлатом, извео је 1898. Ђока Путник са сином Иваном. У цркви се налази плаштаница која је везена у Бечу 1769, а припадала је старом храму који је постојао на месту данашњег.",POINT(534031.9780680062 4972557.556333991)
"25",Марина кула,СК 307,Непокретно културно добро од великог значаја,43.135865,21.294704,"У непосредној близини Куршумлије на доминантном узвишењу изнад ушћа Косанице и Топлице, налазе се остаци средњевековног утврђење „Марина кула“. На основу очуваних остатака, јасно се могу уочити горњи град или цитадела и подграђе опасано масивним бедемима. У југоисточном делу града налазе се у горњем граду сакрални објекат и донжон кула, док су у подграђу констановани бројни грађевински објекти. Према историјским подацима, град је подигла султанија Мара, жена султана Мурата II, кћи Ђурђа Бранковића. Пoсле смрти Мурата II  (1451. године), Мара је од његовог наследника Мехмеда II  добила на управљање области Топлице и Дубочице. Као време подизања града, са сигурношћу се узима раздобље између 1451. и 1457. године када је Мара дефинитивно напустила Србију, а ове области су коначно постпале под турску власт-управу.",POINT(523967.8507274286 4775944.69835766)
"42",Манастир Ковиљ,СК 1124,Непокретно културно добро од великог значаја,45.214088,20.035302,,POINT(424250.7419675531 5007185.936978861)
"117","Зграда ""Бела мачка""",СК 298,Непокретно културно добро од великог значаја,43.164324,22.59169,"Подигнута по одобрењу турских власти 1848. Године као објекат већих димензија са подрумом у приземном делу и просторијама на спрату за становање ова стара кућа се налази у делу града званог Тијабара. Приземни део зграде незнатно укопан у земљу озидан је каменом. Према јужној и западној страни у приземљу простиру се ужи тремови – „сајвани“. Из трема у југозападном делу поред двокрилних врата за улаз у подрум налазе се дрвени басамаци којима се излази на „ћошку“ – некадашњи доксат који био отворен према дворишту, па је касније затворен и застакљен. У ентеријеру зграде некадашње фрескодекорације су прекречене. Ипак још су добро очувани долапи, амамџик, рафови и изузетно лепо украшене црквене таванице и врата. Између кујне и ћилера постојала је „скришница“ из које се могло изаћи на таван. Велики четворосливни кров ове старије куће покривен је ћерамидом са умерено проширеним стрехама. Западно уз кућу се настављају приземне просторије са магазама и дућаном на углу. У дворишту ове куће налази се кош и једна мања нижа стара зграда са великим подрумом –„зевником“.",POINT(629390.8611557175 4780292.613073243)
"75",Кућа Шоп Ђокића,СК 326,Непокретно културно добро од великог значаја,42.996693,21.9493,"Налази се у центру града окружена мањим парком. Грађена је у првој половини XIX века. Ова стара зграда има приземље са четири просторије и спрат са пет  просторија. Фасада куће која је раније била окреенута према дворишту на југоисточној страни је врло разуђена инимљива са мањим тремом у приземљу и диванханом на спрату. Лепота зграде се огледа у једноставности, складним односом зидних маса и прозорских отвора и лепо обликованих димњака, а затим јако испуштеним стрехама на три стране на којима има јако декоративних елемената. Ентеријер зграде добро је очуван где се нарочито истиче декорација у техници дубореза на појединим вратима, прозорима и у једној соби на северној страни код једне богато украшене таванице. У унутрашњости ове старе куће сачувани су стари долапи. Занимљиви су капци на прозорима на спрату који се састоје од два дела, од којих се горњи подижу навише, а доњи спуштају наниже приликом отварања. Приликом спасавалачких интервенција на кући Шоп Ђокића у току 1979.  године реконструисан је западни део куће са доградњом неколико просторија у приземљу и на спрату.",POINT(577380.2815189029 4760884.737475029)
"94",Дворац Јагодић,СК 1113,Непокретно културно добро од великог значаја,45.298725,20.899012,"Саграђен је у селу Боки 1835. за Петра, припадника племићке породице Јагодић, значајне за културну историју српског народа у Војводини. Академски складна, симетрично компонована, класицистичким елементима декорисана приземна грађевина издужене је правоугаоне основе. На угловима зграде су спратни ризалити квадратне основе, који асоцирају на куле. Средишњи тракт са прилазне стране има истурен једноставан трем-надстрешницу са троугаоним забатом на четири канелирана стуба, за улаз колима у зграду. Раван кров дворишног трема-терасе носе четири стуба са коринтским капителима и вишеструко профилисана архитравна греда. Правоугаони прозори, фланкирани плитким пиластрима са коринтским капителима, имају различите фронтоне (равне профилисане греде на конзолама, у облику троугла или лучно завршене). Подпрозорну декорацију чини балустрада испред слепе нише. Велики подрум, засведен пруским сводом, има посебно изведену ваздушну вентилацију у функцији. На имању су била два уређена, пројектована парка: испред дворца по узору на геометријски планиран француски врт са рунделама оивиченим шимширом и ружичњаком, а иза слободно-пејзажни енглески парк који прелази у шуму у дубини имања. Као природна реткост заштићена је шума копривића. Претварање пољског дворца намењеног становању у административно - пословну зграду пољопривредног добра донело је промене, посебно у ентеријеру. Мањи дворац у близини служио је као гостинска кућа.",POINT(492082.0684341781 5016140.792735411)
