geoidentifikator,name_1,name_2,localtype,znacaj,matbro,matbrnas,brojstanovnika,godinapopisa,editdate,geometry
SRBRGI6000001,Турија,Turija,"6003","9","80390","804053","2300","2011",2017/02/01 01:00:00+01,POINT(410726.2198000001 5043329.951400001)
SRBRGI6000002,Надаљ,Nadalj,"6003","7","80390","804037","2008","2011",2020/10/27 13:32:11+01,POINT(415774.8175999997 5040040.1713)
SRBRGI6000003,Вилово,Vilovo,"6003","7","80454","804690","1090","2011",2017/02/01 01:00:00+01,POINT(433743.04849999957 5010763.864800001)
SRBRGI6000004,Шајкаш,Šajkaš,"6003","9","80454","804746","4374","2011",2017/02/01 01:00:00+01,POINT(428612.5772000002 5013596.1808)
SRBRGI6000005,Мошорин,Mošorin,"6003","9","80454","804720","2569","2011",2017/02/01 01:00:00+01,POINT(435336.90749999974 5016671.783299999)
SRBRGI6000006,Радичевић,Radičević,"6003","6","80110","801020","1087","2011",2017/02/01 01:00:00+01,POINT(415826.5256000003 5048586.491699999)
SRBRGI6000007,Бачко Градиште,Bačko Gradište,"6003","9","80110","800988","5110","2011",2017/02/01 01:00:00+01,POINT(423747.83330000006 5042343.6899)
SRBRGI6000008,Бечеј,Bečej,"6002","9","80110","801003","23895","2011",2017/02/01 01:00:00+01,POINT(425838.5415000003 5051796.740900001)
SRBRGI6000009,Кумане,Kumane,"6003","9","80268","802603","3284","2011",2017/02/01 01:00:00+01,POINT(439746.2050999999 5042906.0507)
SRBRGI6000010,Госпођинци,Gospođinci,"6003","9","80136","801305","3715","2011",2017/02/01 01:00:00+01,POINT(420892.18489999976 5028545.0644000005)
SRBRGI6000011,Чуруг,Čurug,"6003","9","80136","801330","8166","2011",2017/02/01 01:00:00+01,POINT(427450.80590000004 5035963.8802000005)
SRBRGI6000012,Жабаљ,Žabalj,"6002","9","80136","801321","9161","2011",2017/02/01 01:00:00+01,POINT(426654.26290000044 5024804.0703)
SRBRGI6000013,Ђурђево,Đurđevo,"6003","9","80136","801313","5092","2011",2017/02/01 01:00:00+01,POINT(426743.4899000004 5019392.619999999)
SRBRGI6000014,Бачки Јарак,Bački Jarak,"6002","9","80446","804665","5687","2011",2017/02/01 01:00:00+01,POINT(411758.9269000003 5024891.674000001)
SRBRGI6000015,Темерин,Temerin,"6002","9","80446","804681","19661","2011",2017/02/01 01:00:00+01,POINT(412964.46690000035 5028811.565400001)
SRBRGI6000016,Лукино Село,Lukino Selo,"6003","5","80152","801607","498","2011",2017/02/01 01:00:00+01,POINT(455328.0767000001 5016945.4735)
SRBRGI6000017,Стајићево,Stajićevo,"6003","7","80152","801666","1941","2011",2017/02/01 01:00:00+01,POINT(457403.3465999998 5015792.0362)
SRBRGI6000018,Орловат,Orlovat,"6003","9","80152","801640","1516","2011",2017/02/01 01:00:00+01,POINT(467329.56879999954 5009872.7258)
SRBRGI6000019,Ботош,Botoš,"6003","7","80152","801518","1860","2011",2017/02/01 01:00:00+01,POINT(471456.0915000001 5017566.6043)
SRBRGI6000020,Банатски Деспотовац,Banatski Despotovac,"6003","7","80152","801496","1291","2011",2017/02/01 01:00:00+01,POINT(473520.7622999996 5023517.666300001)
SRBRGI6000021,Бело Блато,Belo Blato,"6003","7","80152","801500","1342","2011",2017/02/01 01:00:00+01,POINT(450787.2366000004 5013555.305299999)
