geoidentifikator,administrativeunit,name_1,name_2,type,localtype,leastdetailedviewingscale,mostdetailedviewingscale,beginlifespanversion,endlifespanversion,languagegeoname,languageiso_639,script,nativeness,namestatus,standardizationdata,sourceofname,responsibleinstitution,grammaticalgender,grammaticalnumber,note_,znacaj,matbro,matbrnas,brojstanovnika,godinapopisa,editdate,geometry
SRBRGI6100001,Србобран,Turia,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80390","804053","2300","2011",,POINT(410726.2198000001 5043329.951400001)
SRBRGI6100002,Србобран,Nádalja,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80390","804037","2008","2011",,POINT(415787.5175999999 5040027.8682)
SRBRGI6100003,Тител,Tündéres,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80454","804690","1090","2011",,POINT(433743.04849999957 5010763.864800001)
SRBRGI6100004,Тител,Sajkásszentiván,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80454","804746","4374","2011",,POINT(428612.5772000002 5013596.1808)
SRBRGI6100005,Тител,Mozsor,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80454","804720","2569","2011",,POINT(435336.90749999974 5016671.783299999)
SRBRGI6100006,Бечеј,Bácsföldvár,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80110","800988","5110","2011",,POINT(423747.83330000006 5042343.6899)
SRBRGI6100007,Бечеј,Óbecse,,"6","6002","500000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80110","801003","23895","2011",,POINT(425838.5415000003 5051796.740900001)
SRBRGI6100008,Нови Бечеј,Kumán,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80268","802603","3284","2011",,POINT(439746.2050999999 5042906.0507)
SRBRGI6100009,Темерин,Járek,,"6","6002","500000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80446","804665","5687","2011",,POINT(411758.9269000003 5024891.674000001)
SRBRGI6100010,Темерин,Temerin,,"6","6002","500000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80446","804681","19661","2011",,POINT(412964.46690000035 5028811.565400001)
SRBRGI6100011,Зрењанин,Lukácsfalva,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80152","801607","498","2011",,POINT(455328.0767000001 5016945.4735)
SRBRGI6100012,Зрењанин,Óécska,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80152","801666","1941","2011",,POINT(457403.3465999998 5015792.0362)
SRBRGI6100013,Зрењанин,Orlód,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80152","801640","1516","2011",,POINT(467329.56879999954 5009872.7258)
SRBRGI6100014,Зрењанин,Botos,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80152","801518","1860","2011",,POINT(471456.0915000001 5017566.6043)
SRBRGI6100015,Зрењанин,Ernőháza,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80152","801496","1291","2011",,POINT(473520.7622999996 5023517.666300001)
SRBRGI6100016,Зрењанин,Erzsébetlak,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80152","801500","1342","2011",,POINT(450787.2366000004 5013555.305299999)
SRBRGI6100017,Зрењанин,Perlasz,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80152","801658","3383","2011",,POINT(450930.2697999999 5006411.489499999)
SRBRGI6100018,Србобран,Szenttamás,,"6","6002","500000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80390","804045","12009","2011",,POINT(405936.43290000036 5044698.8596)
SRBRGI6100019,Бечеј,Péterréve,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80110","800996","6350","2011",,POINT(428917.5741999997 5061630.6326)
SRBRGI6100020,Нови Бечеј,Törökbecse,,"6","6002","500000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80268","802611","13133","2011",,POINT(432401.3820000002 5049465.5954)
SRBRGI6100021,Тител,Dunagárdony,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80454","804703","1297","2011",,POINT(432148.2812999999 5005935.0436)
SRBRGI6100022,Тител,Sajkáslak,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80454","804711","1114","2011",,POINT(438125.0209999997 5007228.5897)
SRBRGI6100023,Тител,Titel,,"6","6002","500000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80454","804738","5294","2011",,POINT(444885.60699999984 5005965.7411)
SRBRGI6100024,Нови Сад,Csenej,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80284","802891","2125","2011",,POINT(406118.80709999986 5024708.238299999)
SRBRGI6100025,Зрењанин,Farkasd,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80152","801704","1179","2011",,POINT(458701.24959999975 5004090.8169)
SRBRGI6100026,Зрењанин,Tamáslaka,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80152","801682","1510","2011",,POINT(470246.6679999996 5012806.2061)
SRBRGI6100027,Зрењанин,Szentmihály,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80152","801631","948","2011",,POINT(454179.9868000001 5035875.725500001)
SRBRGI6100028,Зрењанин,Elemér,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80152","801526","4338","2011",,POINT(445114.9752000002 5032385.5298999995)
SRBRGI6100029,Зрењанин,Aradác,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80152","801488","3335","2011",,POINT(445313.14910000004 5025358.815199999)
SRBRGI6100030,Зрењанин,Zsigmondfalva,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80152","801615","1804","2011",,POINT(460568.6766999997 5020507.4191)
SRBRGI6100031,Зрењанин,Nagybecskerek,,"6","6001","750000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80152","801542","76511","2011",,POINT(452314.0689000003 5025397.2829)
SRBRGI6100032,Зрењанин,Écska,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80152","801534","3999","2011",,POINT(456063.9671 5018387.6143)
SRBRGI6100033,Зрењанин,Jankahíd,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80152","801569","530","2011",,POINT(455766.23730000015 5035798.7048)
SRBRGI6100034,Зрењанин,Begafő,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80152","801577","2706","2011",,POINT(459279.79870000016 5029877.0353)
SRBRGI6100035,Зрењанин,Lázárföld,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80152","801593","2877","2011",,POINT(463824.16449999996 5026146.707800001)
SRBRGI6100036,Зрењанин,Tiszatarrós,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80152","801674","1009","2011",,POINT(437073.86120000016 5035154.111199999)
SRBRGI6100037,Суботица,Felsőtavankút,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80438","804517","1097","2011",,POINT(380705.0820000004 5099708.1569)
SRBRGI6100038,Суботица,Alsótavankút,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80438","804525","2327","2011",,POINT(383090.46970000025 5100665.7641)
SRBRGI6100039,Суботица,Mérges,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80438","804550","1067","2011",,POINT(386001.9584999997 5102427.293299999)
SRBRGI6100040,Суботица,Kelebia,,"6","6003","250000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80438","804541","2142","2011",,POINT(390452.6891999999 5111600.8792)
SRBRGI6100041,Суботица,Szabadka,,"6","6001","1000000",,,,"2","2",Latn,"1","1",,"22",Републички геодетски завод,,,,"5","80438","804614","97910","2011",,POINT(396773 5106004.9999)
