geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,shape_length,geometry
SRBRGI5000281,Лекарски рид,Lekarski rid,"5002","3","71137",2017/02/01 01:00:00+01,772.041793955936,"MULTILINESTRING((608960 4723915,609245 4724250,609367 4724559))"
SRBRGI5000282,Ђонова чука,Đonova čuka,"5002","2","71137",2017/02/01 01:00:00+01,726.998137615473,"MULTILINESTRING((599401 4730070,599415 4730149,599436 4730227,599463 4730303,599497 4730377,599536 4730447,599582 4730514,599632 4730577,599688 4730636,599748 4730690))"
SRBRGI5000283,Мамутова долина,Mamutova dolina,"5002","2","71137",2017/02/01 01:00:00+01,579.72579725246,"MULTILINESTRING((599180 4731363,599291 4731932))"
SRBRGI5000284,Седло,Sedlo,"5003","2","70416",2017/02/01 01:00:00+01,306.850800995636,"MULTILINESTRING((594886 4738415,594932 4738374,594972 4738328,595007 4738278,595037 4738224,595060 4738167))"
SRBRGI5000285,Плаће,Plaće,"5002","2","70416",2017/02/01 01:00:00+01,358.353177745084,"MULTILINESTRING((594836 4736775,595152 4736944))"
SRBRGI5000286,Преслап,Preslap,"5002","2","70726",2017/02/01 01:00:00+01,493.627389839745,"MULTILINESTRING((597192 4737540,597590 4737832))"
SRBRGI5000287,Јеленче,Jelenče,"5002","2","71137",2017/02/01 01:00:00+01,507.961612722851,"MULTILINESTRING((598878 4736119,599366 4735978))"
SRBRGI5000288,Бељино бачевиште,Beljino bačevište,"5002","2","71137",2017/02/01 01:00:00+01,1110.04365596827,"MULTILINESTRING((596802 4736217,596880 4736183,596955 4736142,597026 4736095,597093 4736042,597156 4735984,597213 4735920,597264 4735852,597310 4735780,597349 4735704,597382 4735626,597408 4735544,597427 4735461,597439 4735376))"
SRBRGI5000289,Кадрињача,Kadrinjača,"5002","4","70068",2017/02/01 01:00:00+01,427.179711067499,"MULTILINESTRING((386820.04870000016 4886298.6876,386978.79899999965 4886487.203600001,387127.62739999965 4886589.729800001))"
SRBRGI5000290,Дукиновац,Dukinovac,"5002","4","70068",2017/02/01 01:00:00+01,453.0057641759,"MULTILINESTRING((390426.1051000003 4885166.225299999,390675.6798999999 4885544.2817))"
