geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,geometry
SRBRGI5100001,Велики Маљен,Veliki Maljen,"5101","5","70955",2017/02/01 01:00:00+01,POINT(425397.1381000001 4884831.3617)
SRBRGI5100002,Мали Маљен,Mali Maljen,"5101","5","70955",2017/02/01 01:00:00+01,POINT(424884.9478000002 4882107.514900001)
SRBRGI5100003,Сувобор,Suvobor,"5101","5","70483",2017/02/01 01:00:00+01,POINT(434536.7927000001 4885644.0951000005)
SRBRGI5100004,Умка,Umka,"5101","5","70483",2017/02/01 01:00:00+01,POINT(440912.72339999955 4880609.9737)
SRBRGI5100005,Пирамида,Piramida,"5101","5","70351",2017/02/01 01:00:00+01,POINT(563480.3501000004 4707833.372300001)
SRBRGI5100006,Гола глава,Gola glava,"5101","5","70351",2017/02/01 01:00:00+01,POINT(562403.9237000002 4709941.5765)
SRBRGI5100007,Јаблан,Jablan,"5101","5","70416",2017/02/01 01:00:00+01,POINT(590904.9551999997 4734109.8299)
SRBRGI5100008,Јарчиште,Jarčište,"5101","5","70416",2017/02/01 01:00:00+01,POINT(581929.2784000002 4733042.630899999)
SRBRGI5100009,Бели камен,Beli kamen,"5101","2","71234",2017/02/01 01:00:00+01,POINT(391905.9338999996 4847964.602399999)
SRBRGI5100010,Лекића трло,Lekića trlo,"5101","2","71234",2017/02/01 01:00:00+01,POINT(390696.21219999995 4846913.2183)
SRBRGI5100011,Ибрахимов вис,Ibrahimov vis,"5101","5","90247",2017/02/01 01:00:00+01,POINT(532092.8194000004 4746132.981000001)
SRBRGI5100012,Масина чука,Masina čuka,"5101","5","70050",2017/02/01 01:00:00+01,POINT(625477.2152000004 4748872.3017)
SRBRGI5100013,Руј,Ruj,"5101","5","70050",2017/02/01 01:00:00+01,POINT(628696.8348000003 4746795.005899999)
SRBRGI5100014,Ветрен,Vetren,"5101","5","70050",2017/02/01 01:00:00+01,POINT(629344.2594999997 4750060.973300001)
SRBRGI5100015,Перос,Peros,"5101","5","70505",2017/02/01 01:00:00+01,POINT(641298.8836000003 4758011.778000001)
SRBRGI5100016,Забел,Zabel,"5101","5","70939",2017/02/01 01:00:00+01,POINT(626839.2873999998 4772595.9048999995)
SRBRGI5100017,Велика чука,Velika čuka,"5101","5","70297",2017/02/01 01:00:00+01,POINT(552107.1122000003 4762728.310699999)
SRBRGI5100018,Бутањски врх,Butanjski vrh,"5101","5","70084",2017/02/01 01:00:00+01,POINT(607420.9785000002 4793513.6094)
SRBRGI5100019,Зелени врх,Zeleni vrh,"5101","7","71064",2017/02/01 01:00:00+01,POINT(601571.3820000002 4798273.2084)
SRBRGI5100020,Црни врх,Crni vrh,"5101","5","71064",2017/02/01 01:00:00+01,POINT(603660.2717000004 4799981.891100001)
SRBRGI5100021,Големи врх,Golemi vrh,"5101","5","70084",2017/02/01 01:00:00+01,POINT(607582.9919999996 4798562.9278)
SRBRGI5100022,Остри врх,Ostri vrh,"5101","5","70084",2017/02/01 01:00:00+01,POINT(609089.6912000002 4800067.5952)
SRBRGI5100023,Солишка чука,Soliška čuka,"5101","5","70602",2017/02/01 01:00:00+01,POINT(625690.1017000005 4808866.154999999)
SRBRGI5100024,Чукар,Čukar,"5101","5","70602",2017/02/01 01:00:00+01,POINT(609799.9006000003 4810161.6898)
SRBRGI5100025,Забел,Zabel,"5101","5","71064",2017/02/01 01:00:00+01,POINT(593351.5154999997 4810098.0572999995)
SRBRGI5100026,Кошљанско брдо,Košljansko brdo,"5101","4","70777",2017/02/01 01:00:00+01,POINT(384888.87459999975 4891159.6701)
SRBRGI5100027,Чокотин гроб,Čokotin grob,"5101","5","70670",2017/02/01 01:00:00+01,POINT(537215.2423999999 4823754.2007)
SRBRGI5100028,Рогови,Rogovi,"5101","5","71170",2017/02/01 01:00:00+01,POINT(498908.1090000002 4825118.3892)
SRBRGI5100029,Козник,Koznik,"5101","5","71170",2017/02/01 01:00:00+01,POINT(500919.4491999997 4826212.3375)
SRBRGI5100030,Ветрењак,Vetrenjak,"5101","5","71170",2017/02/01 01:00:00+01,POINT(500405.6469999999 4831991.7948)
SRBRGI5100031,Црни врх,Crni vrh,"5101","5","70653",2017/02/01 01:00:00+01,POINT(479484.40780000016 4831865.6066)
SRBRGI5100032,Оштра главица,Oštra glavica,"5101","5","70653",2020/07/08 12:43:06+02,POINT(469147.57100000046 4834323.7499)
SRBRGI5100033,Ком,Kom,"5101","6","70653",2017/02/01 01:00:00+01,POINT(458605.33469999954 4832089.695900001)
SRBRGI5100034,Исапље,Isaplje,"5101","5","70653",2017/02/01 01:00:00+01,POINT(459625.9844000004 4831088.889)
SRBRGI5100035,Ћиће,Ćiće,"5101","5","70653",2017/02/01 01:00:00+01,POINT(457985.2450000001 4828773.5155)
SRBRGI5100036,Смрдључ,Smrdljuč,"5101","7","70653",2017/02/01 01:00:00+01,POINT(453607.24179999996 4825660.399599999)
SRBRGI5100037,Гусарица,Gusarica,"5101","5","70653",2017/02/01 01:00:00+01,POINT(459528.95940000005 4823045.5834)
SRBRGI5100038,Равниште,Ravnište,"5101","5","70653",2017/02/01 01:00:00+01,POINT(462255.8931 4820234.380000001)
SRBRGI5100039,Кривача,Krivača,"5101","7","70653",2017/02/01 01:00:00+01,POINT(457457.13549999986 4813672.4355)
SRBRGI5100040,Стрмац,Strmac,"5101","5","70653",2017/02/01 01:00:00+01,POINT(460918.7759999996 4810627.165899999)
SRBRGI5100041,Јаворска чука,Javorska čuka,"5101","5","70335",2017/02/01 01:00:00+01,POINT(615649.7426000005 4687658.812000001)
SRBRGI5100042,Киселичка чука,Kiselička čuka,"5101","5","70335",2017/02/01 01:00:00+01,POINT(615087.6491 4693111.9945)
SRBRGI5100043,Пост,Post,"5101","5","70335",2017/02/01 01:00:00+01,POINT(611490.0006999997 4685835.1117)
SRBRGI5100044,Јурук,Juruk,"5101","5","71161",2017/02/01 01:00:00+01,POINT(607934.2670999998 4696187.0474)
SRBRGI5100045,Жути камен,Žuti kamen,"5101","5","71161",2017/02/01 01:00:00+01,POINT(604402.7339000003 4695654.4398)
SRBRGI5100046,Мурговица,Murgovica,"5101","5","70335",2017/02/01 01:00:00+01,POINT(621532.3678000001 4698426.1471)
SRBRGI5100047,Црноок,Crnook,"5101","9","70335",2017/02/01 01:00:00+01,POINT(614387.7482000003 4697933.492000001)
SRBRGI5100048,Грчка чука,Grčka čuka,"5101","5","71161",2017/02/01 01:00:00+01,POINT(593702.6765000001 4685473.8736000005)
SRBRGI5100049,Копљача,Kopljača,"5101","6","71161",2017/02/01 01:00:00+01,POINT(584270.9894000003 4687623.8202)
SRBRGI5100050,Чука,Čuka,"5101","5","71161",2017/02/01 01:00:00+01,POINT(582211.4576000003 4690863.820499999)
SRBRGI5100051,Зеленчев врх,Zelenčev vrh,"5101","6","71161",2017/02/01 01:00:00+01,POINT(591280.3340999996 4697241.085200001)
SRBRGI5100052,Смрдан,Smrdan,"5101","5","70351",2017/02/01 01:00:00+01,POINT(574602.3695999999 4689659.831700001)
SRBRGI5100053,Вучји камен,Vučji kamen,"5101","5","70963",2017/02/01 01:00:00+01,POINT(565816.5040999996 4684644.305600001)
