geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,adresa,geometry
SRBRGI8100001,Шебешић,Šebešić,"8104","5","80438",2021/01/21 09:58:26+01,,POINT(391075.9227999998 5104589.784600001)
SRBRGI8100002,Бачка Паланка,Bačka Palanka,"8104","2","80063",2021/01/21 09:58:26+01,,POINT(372700.3570999997 5012171.6247000005)
SRBRGI8100003,Међународно путничко пристаниште у Београду,Međunarodno putničko pristaniste u Beogradu,"8112","2","70246",2021/01/21 09:58:26+01,,POINT(456442.03479999956 4962851.2662)
SRBRGI8100004,Прогарска ћуприја,Progarska ćuprija,"8106","4","80322",2021/01/21 09:58:26+01,,POINT(428501 4956169)
SRBRGI8100005,Салаш,Salaš,"8104","5","80381",2021/01/21 09:58:26+01,,POINT(346650.48390000034 5072860.028899999)
SRBRGI8100006,Ловћенац,Lovćenac,"8104","5","80241",2021/01/21 09:58:26+01,,POINT(394768.15309999976 5058544.4736)
SRBRGI8100007,Мали Иђош – Поље,Mali Iđoš – Polje,"8104","5","80241",2021/01/21 09:58:26+01,,POINT(394904.5332000004 5066690.975500001)
SRBRGI8100008,Буковачки салаши,Bukovački salaši,"8104","5","80381",2021/01/21 09:58:26+01,,POINT(350096.1867000004 5067120.952500001)
SRBRGI8100009,Богојево,Bogojevo,"8104","5","80047",2021/01/21 09:58:26+01,,POINT(352088.22479999997 5045351.4493)
SRBRGI8100010,Банатски Деспотовац,Banatski Despotovac,"8105","1","80152",2021/01/21 09:58:26+01,,POINT(471127.1503999997 5025888.6603999995)
SRBRGI8100011,Петровац – Гложан,Petrovac – Gložan,"8104","5","80080",2021/01/21 09:58:26+01,,POINT(388914.1864 5020450.9815)
SRBRGI8100012,Потпорањ,Potporanj,"8105","1","80128",2021/01/21 09:58:26+01,,POINT(521736.7516000001 4985121.5788)
SRBRGI8100013,Јабука,Jabuka,"8104","5","80314",2021/01/21 09:58:26+01,,POINT(473697.7006000001 4975194.1329)
SRBRGI8100014,Мраморак,Mramorak,"8104","5","80225",2021/01/21 09:58:26+01,,POINT(499675.74909999967 4967098.1261)
SRBRGI8100015,Водањ,Vodanj,"8104","5","71099",2021/01/21 09:58:26+01,,POINT(487134.4741000002 4937491.1919)
SRBRGI8100016,Влашко Поље,Vlaško Polje,"8104","5","70173",2021/01/21 09:58:26+01,,POINT(472824.59300000034 4925584.494100001)
SRBRGI8100017,Ковачевац,Kovačevac,"8104","5","71102",2021/01/21 09:58:26+01,,POINT(480117.9079999998 4916254.4815)
SRBRGI8100018,Мајданпек,Majdanpek,"8104","5","70785",2021/01/21 09:58:26+01,,POINT(570919.5788000003 4914615.2666)
SRBRGI8100019,Кусадак,Kusadak,"8104","5","71102",2021/01/21 09:58:26+01,,POINT(486365.54509999976 4913659.0044)
SRBRGI8100020,Церово,Cerovo,"8104","5","70327",2021/01/21 09:58:26+01,,POINT(581173.9483000003 4893174.497099999)
SRBRGI8100021,Мали Кривељ,Mali Krivelj,"8104","5","70327",2021/01/21 09:58:26+01,,POINT(585145.7898000004 4885566.7291)
SRBRGI8100022,Заграђе,Zagrađe,"8104","5","70327",2021/01/21 09:58:26+01,,POINT(597254.2775999997 4876372.319700001)
SRBRGI8100023,Рибница Златиборска,Ribnica Zlatiborska,"8105","1","71234",2021/01/21 09:58:26+01,,POINT(384889.1810999997 4840367.7585)
SRBRGI8100024,Јабланица,Jablanica,"8104","5","71234",2021/01/21 09:58:26+01,,POINT(380748.16110000014 4839740.6788)
SRBRGI8100025,Беочин,Beočin,"8104","2","80101",2021/01/21 09:58:26+01,,POINT(399244.3004999999 5007119.044500001)
SRBRGI8100026,Лединци,Ledinci,"8104","2","80284",2021/01/21 09:58:26+01,,POINT(406436.5016000001 5007670.5942)
SRBRGI8100027,Сремска Каменица,Sremska Kamenica,"8104","2","80284",2021/01/21 09:58:26+01,,POINT(409632.44350000005 5008387.017899999)
SRBRGI8100028,Маргита,Margita,"8105","1","80349",2021/01/21 09:58:26+01,,POINT(512407.9282999998 5006234.2454)
SRBRGI8100029,Лаудоновац,Laudonovac,"8105","1","80349",2021/01/21 09:58:26+01,,POINT(511823.3287000004 5003183.721000001)
SRBRGI8100030,Банатско Ново Село,Banatsko Novo Selo,"8104","2","80314",2021/01/21 09:58:26+01,,POINT(483150.19120000023 4980415.9442)
SRBRGI8100031,Војловица,Vojlovica,"8104","2","80314",2021/01/21 09:58:26+01,,POINT(475877.6551000001 4964454.286900001)
SRBRGI8100032,Добре стране,Dobre strane,"8104","5","70653",2021/01/21 09:58:26+01,,POINT(465391.4386999998 4826991.584000001)
