geoidentifikator,name_1,name_2,localtype,znacaj,matbro,registarskibroj,editdate,geometry
SRBRGI7100001,Кедар на Дедињу,Kedar na Dedinju,"7101","1","70220","10",2019/10/15 10:01:42+02,POINT(456206.3262 4959344.399)
SRBRGI7100002,Лалино дрво,Lalino drvo,"7101","1","70220","13",2019/10/15 10:01:42+02,POINT(457354.1355999997 4959251.1742)
SRBRGI7100003,Гинко на Сењаку,Ginko na Senjaku,"7101","1","70220","15",2019/10/15 10:01:42+02,POINT(455688.48790000007 4959795.352700001)
SRBRGI7100004,Јасика код Бајчине,Jasika kod Bajčine,"7101","1","90247","89",2017/02/01 01:00:00+01,POINT(513623.5557000004 4755127.799699999)
SRBRGI7100005,Сам-дуд,Sam-dud,"7101","1","90239","92",2017/02/01 01:00:00+01,POINT(440210.7309999997 4723358.8489)
SRBRGI7100006,Храст Коче капетана,Hrast Koče kapetana,"7101","1","71048","95",2017/02/01 01:00:00+01,POINT(522359.1682000002 4876491.9333999995)
SRBRGI7100007,Карађорђев дуд,Karađorđev dud,"7101","1","71099","109",2017/02/01 01:00:00+01,POINT(494242.4297000002 4945729.3928)
SRBRGI7100008,Платан у Сремским Карловцима,Platan u Sremskim Karlovcima,"7101","1","80411","114",2017/02/01 01:00:00+01,POINT(416443.42920000013 5005944.479800001)
SRBRGI7100009,Храст китњак – Дебела граница,Hrast kitnjak – Debela granica,"7101","1","71145","122",2017/02/01 01:00:00+01,POINT(404474.3624 4867657.876)
SRBRGI7100010,Бор цара Душана,Bor cara Dušana,"7101","1","90301","127",2017/02/01 01:00:00+01,POINT(506946.9227 4690555.866800001)
SRBRGI7100011,Два храста лужњака код манастира Жича,Dva hrasta lužnjaka kod manastira Žiča,"7101","1","70653","134",2020/10/20 11:39:45+02,POINT(471481.3038999997 4838129.267000001)
SRBRGI7100012,Тиса у парку Патријаршијског двора,Tisa u parku Patrijaršijskog dvora,"7101","1","80411","153",2017/02/01 01:00:00+01,POINT(416309.85390000045 5006116.3092)
SRBRGI7100013,Буква – Прозорац,Bukva – Prozorac,"7101","1","70459","176",2017/02/01 01:00:00+01,POINT(484962.9807000002 4825617.447699999)
SRBRGI7100014,Висибаба – стабла лужњака,Visibaba – stabla lužnjaka,"7101","1","70955","182",2017/02/01 01:00:00+01,POINT(420931.71860000025 4854769.067)
SRBRGI7100015,Висибаба – стабла лужњака,Visibaba – stabla lužnjaka,"7101","1","70955","182",2017/02/01 01:00:00+01,POINT(420930.95639999956 4854762.5472)
SRBRGI7100016,Висибаба – стабла лужњака,Visibaba – stabla lužnjaka,"7101","1","70955","182",2017/02/01 01:00:00+01,POINT(420924.8598999996 4854763.4224)
SRBRGI7100017,Висибаба – стабла лужњака,Visibaba – stabla lužnjaka,"7101","1","70955","182",2017/02/01 01:00:00+01,POINT(420919.35610000044 4854763.5919)
SRBRGI7100018,Храст лужњак – Породински запис,Hrast lužnjak – Porodinski zapis,"7101","1","70521","189",2017/02/01 01:00:00+01,POINT(516748.79399999976 4908469.544600001)
SRBRGI7100019,Храст лужњак – Радојковића раст,Hrast lužnjak – Radojkovića rast,"7101","1","70386","191",2017/02/01 01:00:00+01,POINT(513063.10979999974 4911931.479)
SRBRGI7100020,Четири платана,Četiri platana,"7101","1","80063","194",2017/02/01 01:00:00+01,POINT(373060.8304000003 5010257.7743999995)
SRBRGI7100021,Пет храстова,Pet hrastova,"7101","1","70459","211",2017/02/01 01:00:00+01,POINT(492146.98429999966 4830806.2544)
SRBRGI7100022,Храст лужњак у Смедереву,Hrast lužnjak u Smederevu,"7101","1","71099","218",2017/02/01 01:00:00+01,POINT(497098.7243999997 4938804.1807)
SRBRGI7100023,Храст лужњак у Долову,Hrast lužnjak u Dolovu,"7101","1","71099","219",2017/02/01 01:00:00+01,POINT(498763.65160000045 4933887.541999999)
SRBRGI7100024,Диволеска,Divoleska,"7101","1","71145","224",2017/02/01 01:00:00+01,POINT(406159.04470000044 4856480.276900001)
SRBRGI7100025,Мечје леске на Тргу Светог Саве у Ужицу,Mečje leske na Trgu Svetog Save u Užicu,"7101","1","71145","226",2017/02/01 01:00:00+01,POINT(407096.9068999998 4856567.602)
SRBRGI7100026,Храст лужњак у Коларима,Hrast lužnjak u Kolarima,"7101","1","71048","227",2017/02/01 01:00:00+01,POINT(519332.8361999998 4860752.243799999)
SRBRGI7100027,Црни бор у клисури Ибра,Crni bor u klisuri Ibra,"7101","1","70653","229",2017/02/01 01:00:00+01,POINT(466114.31900000013 4825688.59)
SRBRGI7100028,Храст цер – Загус запис,Hrast cer – Zagus zapis,"7101","1","70033","238",2017/02/01 01:00:00+01,POINT(457074.57070000004 4903974.006100001)
SRBRGI7100029,Црни бор – лира,Crni bor – lira,"7101","1","70866","240",2017/02/01 01:00:00+01,POINT(399170.1310999999 4828659.7497000005)
SRBRGI7100030,Група стабала у Лозовику,Grupa stabala u Lozoviku,"7101","1","70386","242",2017/02/01 01:00:00+01,POINT(506715.2620000001 4924608.0429)
SRBRGI7100031,Муника у селу Сениште,Munika u selu Senište,"7101","1","70866","244",2017/02/01 01:00:00+01,POINT(398720.34889999963 4823261.4835)
SRBRGI7100032,Липе у Белој Цркви,Lipe u Beloj Crkvi,"7101","1","70661","247",2020/10/20 12:12:31+02,POINT(378879.5571999997 4916757.6395)
SRBRGI7100033,Група стабала – Добри поток,Grupa stabala – Dobri potok,"7101","1","70661","258",2017/02/01 01:00:00+01,POINT(370409.47580000013 4914514.309900001)
SRBRGI7100034,Два храста лужњака у Врњцима,Dva hrasta lužnjaka u Vrnjcima,"7101","1","70459","266",2017/02/01 01:00:00+01,POINT(493416.54789999966 4832055.827199999)
SRBRGI7100035,Храст лужњак у Старој Моравици,Hrast lužnjak u Staroj Moravici,"7101","1","80071","296",2017/02/01 01:00:00+01,POINT(380920.1347000003 5080744.987299999)
SRBRGI7100036,Две тисе у дворишту Карловачке гимназије,Dve tise u dvorištu Karlovačke gimnazije,"7101","1","80411","303",2017/02/01 01:00:00+01,POINT(416250.3463000003 5005976.4913)
SRBRGI7100037,Бела топола крај Стражиловског потока,Bela topola kraj Stražilovskog potoka,"7101","1","80411","304",2017/02/01 01:00:00+01,POINT(416512.4785000002 5006296.6502)
SRBRGI7100038,Дивљи кестен у Сремским Карловцима,Divlji kesten u Sremskim Karlovcima,"7101","1","80411","305",2017/02/01 01:00:00+01,POINT(416773.0321000004 5005624.6559999995)
SRBRGI7100039,Амерички платан у Футогу,Američki platan u Futogu,"7101","1","80284","307",2017/02/01 01:00:00+01,POINT(397891.2461000001 5010300.568700001)
SRBRGI7100040,Црни дуд у Сремским Карловцима,Crni dud u Sremskim Karlovcima,"7101","1","80411","308",2017/02/01 01:00:00+01,POINT(417388.12289999984 5005261.7563000005)
SRBRGI7100041,Осам стабала цера – Палибрчки церови,Osam stabala cera – Palibrčki cerovi,"7101","1","70564","321",2017/02/01 01:00:00+01,POINT(437997.8476 4823218.5122)
SRBRGI7100042,Храст лужњак – Љутице,Hrast lužnjak – Ljutice,"7101","1","70955","324",2017/02/01 01:00:00+01,POINT(415690.6185999997 4858250.260199999)
SRBRGI7100043,Храст лужњак – Беле воде,Hrast lužnjak – Bele vode,"7101","1","70955","325",2017/02/01 01:00:00+01,POINT(419639.35840000026 4857730.306299999)
SRBRGI7100044,Храст цер у Почечи,Hrast cer u Počeči,"7101","1","70955","327",2017/02/01 01:00:00+01,POINT(424387.81350000016 4850902.095799999)
SRBRGI7100045,Бели дуд у Гардиновцима,Beli dud u Gardinovcima,"7101","1","80454","341",2017/02/01 01:00:00+01,POINT(431900.2276999997 5005984.944700001)
SRBRGI7100046,Гинко у Апатину,Ginko u Apatinu,"7101","1","80047","345",2017/02/01 01:00:00+01,POINT(342383.3786000004 5059530.002900001)
SRBRGI7100047,Храст цер у Доњој Црнући,Hrast cer u Donjoj Crnući,"7101","1","70483","346",2017/02/01 01:00:00+01,POINT(467950.3241999997 4875918.3248)
