geoidentifikator,name_1,name_2,localtype,znacaj,matbro,editdate,shape_length,geometry
SRBRGI4000001,Девречка шума,Devrečka šuma,"4000","3","71188",2017/02/01 01:00:00+01,928.571150188514,"MULTILINESTRING((431934.4057 4769162.550100001,432862.92140000034 4769152.4024))"
SRBRGI4000002,Јелина шума,Jelina šuma,"4000","3","70688",2017/02/01 01:00:00+01,539.64390000049,"MULTILINESTRING((525298.1009 4782767.118100001,525837.7448000005 4782767.118100001))"
SRBRGI4000003,Газдаричине ливаде,Gazdaričine livade,"4006","3","71323",2017/02/01 01:00:00+01,1550.5022386185,"MULTILINESTRING((565292.2582 4793548.0002,566390.2812999999 4792453.284499999))"
SRBRGI4000004,Вучанска шума,Vučanska šuma,"4000","3","71188",2017/02/01 01:00:00+01,4635.00123270031,"MULTILINESTRING((439144.6852000002 4754573.968599999,443688.9129999997 4753661.154200001))"
SRBRGI4000005,Јевђина ливада,Jevđina livada,"4006","3","70688",2017/02/01 01:00:00+01,782.476679392071,"MULTILINESTRING((536283.6107999999 4758957.5219,537066.0740999999 4758962.0977))"
SRBRGI4000006,Нови виногради,Novi vinogradi,"4005","2","80381",2017/02/01 01:00:00+01,1041.27512049501,"MULTILINESTRING((352211.12119999994 5097666.6768,352681.0220999997 5096737.4583))"
SRBRGI4000007,Стари виногради,Stari vinogradi,"4005","2","80381",2017/02/01 01:00:00+01,1176.87670043874,"MULTILINESTRING((352909.62260000035 5097852.9439,353387.9901999999 5096777.675000001))"
SRBRGI4000008,Јасеновачки пашњак,Jasenovački pašnjak,"4007","2","80438",2017/02/01 01:00:00+01,5295.99670178873,"MULTILINESTRING((396800.46270000003 5115491.044199999,401463.7533 5112980.8048))"
SRBRGI4000009,Овчији пашњак,Ovčiji pašnjak,"4007","2","80195",2017/02/01 01:00:00+01,2537.87041262541,"MULTILINESTRING((419407.06790000014 5095703.284600001,421467.5148 5097184.9542))"
SRBRGI4000010,Келемен виногради,Kelemen vinogradi,"4005","2","80195",2017/02/01 01:00:00+01,1624.69492482605,"MULTILINESTRING((420896.11000000034 5113524.5854,422458.2132000001 5113971.2029))"
