id,naziv_ustanove,naziv_ustanove_eng,tip_ustanove,maticna_ustanova,ulica_broj,mesto,opstina,okrug,region,poz_broj,tel,mobil_tel,e_mail,website,direktor,kontakt_lice,tip_ustanove_eng,tip_ustanove_rus,ime_ustanova_rus,tip_ustanova_kina,ime_ustanova_kina,delete,latitude,longitude,coordinate,pozivni_broj,geometry
"20197",Архив „Верослава Вељашевић” Смедеревска Паланка,Archive “Vjeroslava Veljašević” Smederevska Palank,Архиви,,Омладинска 13,Смедеревска Паланка,Смедеревска Паланка,ПОДУНАВСКИ ОКРУГ,Регион Јужне и Источне Србије,"26",317 235,,arhivsmedpalanka@gmail.com,http://www.arhivpalanka.rs/,в.д. Срђан Челић,в.д. Срђан Челић,Archive,архивы,Архив „Верослава Веляшевич” Смедеревска-Паланка,档案馆,斯梅代雷沃帕兰卡“维洛斯拉娃·维利亚舍维奇”档案馆,,44.3706613,20.9251161,"44.3706613, 20.9251161","026",POINT(494033.7528674297 4913045.44224111)
"20165",Архив Војводине Нови Сад,Archive of Vojvodina,Архиви,,Жарка Васиљевића 2а,Нови Сад,Нови Сад,ЈУЖНО-БАЧКИ ОКРУГ,Регион Војводине,"21",4891 800,,info@arhivvojvodine.org.rs,www.arhivvojvodine.org.rs,Бранимир Андрић,Виолета Лукић,Archive,архивы,Архив Воеводины Нови-Сад,档案馆,诺维萨德伏伊伏丁那档案馆,,45.25698,19.85205,"45.25698, 19.85205","021",POINT(409929.3751919533 5012139.190317363)
"20183",Архив Југославије,Archives of Yugoslavia,Архиви,,Васе Пелагића 33,БЕОГРАД - Савски венац,БЕОГРАД - Савски венац,ГРАД БЕОГРАД,Београдски регион,"11","3690-252, 253, 261, 262, 3691-661,007-директор",,"arhivyu@arhivyu.rs, kabinet@arhivуu.rs (ditektor)",www.arhivyu.rs,Др Милан Терзић,Др Милан Терзић,Archive,архивы,Архив Югославии,档案馆,南斯拉夫档案馆,,44.78917,20.44109,"44.78917, 20.44109","011",POINT(455788.08909190824 4959682.214247346)
"22008",Архив Југословенске кинотеке,Yugoslav Film Archives,Архиви,"ЈУГОСЛОВЕНСКА КИНОТЕКА, Установа културе од националног значаја",Кнеза Вишеслава 88,БЕОГРАД - Чукарица,БЕОГРАД - Чукарица,ГРАД БЕОГРАД,Београдски регион,"11","3549 794; 3549 863",063 1075 518,kinoteka@kinoteka.org.rs,www.kinoteka.org.rs,Југослав Пантелић,Aлександар Ердељановић,Archive,архивы,Архив Югославской кинотеки,档案馆,南斯拉夫电影档案馆,,44.75501,20.4348,"44.75501, 20.4348","011",POINT(455264.16209058993 4955891.060272068)
"20179",Архив Косова и Метохије,Archive of Kosovo and Metohija,Архиви,,Тврђава бб,Ниш,Ниш,НИШАВСКИ ОКРУГ,Регион Јужне и Источне Србије,"18","515609",064/393-42-32,/,,Радмила Поповић,Стојанка Бојовић,Archive,архивы,Архив Косово и Метохии,档案馆,科索沃与梅托希亚档案馆,,43.3266025,21.8940982,"43.3266025, 21.8940982","018",POINT(572489.4675546554 4797472.591761905)
"20167",Архив Србије,Archive of Serbia,Архиви,,Карнеџијева 2,БЕОГРАД - Палилула,БЕОГРАД - Палилула,ГРАД БЕОГРАД,Београдски регион,"11",3370 781,,office@archives.org.rs,www.archives.org.rs,др Мирослав Перишић,др Мирослав Перишић,Archive,архивы,Архив Сербии,档案馆,塞尔维亚档案馆,,44.80687,20.47504,"44.80687, 20.47504","011",POINT(458486.3578323969 4961630.494783319)
"20177",Историјски архив - Történelmi Levéltár Сента,Historical Archive of Senta,Архиви,,Главни трг 1/II,Сента,Сента,СЕВЕРНО-БАНАТСКИ ОКРУГ,Регион Војводине,"33",811 037,,zentarhiv@gmail.com,www.zentarhiv.rs,Иштван Фодор,Иштван Фодор,Archive,архивы,Исторический архив - Történelmi Levéltár Сента,档案馆,森塔历史档案馆,,45.93088,20.08911,"45.93088, 20.08911","033",POINT(429379.9977079359 5086771.186985317)
"20175",Историјски архив „31. јануар” Врање,Historical Archive “31. Januar” Vranje,Архиви,,Партизанска 17а,Врање,Врање,ПЧИЊСКИ ОКРУГ,Регион Јужне и Источне Србије,"17",417-042 – директор,,istarhivvr@gmail.com,www.vranjearhiv.com,в. д. Боривоје Манасијевић,в. д. Боривоје Манасијевић,Archive,архивы,Исторический архив „31 января” Вране,档案馆,弗拉涅一月三十一号历史档案馆,,42.55255,21.8966,"42.55255, 21.8966","017",POINT(573608.6964267149 4711517.68701787)
"20180",Историјски архив „Рас” Нови Пазар,"Historical Archive ""Ras"" Novi Pazar",Архиви,,Ослобођења 41,Нови Пазар,Нови Пазар,РАШКИ ОКРУГ,Регион Шумадије и Западне Србије,"20",318 282,,arhivrasnovipazar@gmail.com,,Зоран Поповић,Зоран Поповић,Archive,архивы,Исторический архив „Рас” Нови-Пазар,档案馆,新帕扎尔”拉斯“历史档案馆,,43.13523,20.5178,"43.13523, 20.5178","020",POINT(460782.9451698639 4775944.868329722)
"20172",Историјски архив „Срем” Сремска Митровица,Historical Archive “Srem” Sremska Mitrovica,Архиви,,Вука Караџића 4,Сремска Митровица,Сремска Митровица,СРЕМСКИ ОКРУГ,Регион Војводине,"22","625 393; 613 592",,info@arhivsrem.org.rs,www.arhivsrem.org.rs,в. д. Дејан Уметић,в. д. Дејан Уметић,Archive,архивы,Исторический архив „Срем” Сремска-Митровица,档案馆,斯雷姆斯卡米特洛维察”斯雷姆“历史档案馆,,44.96715,19.60789,"44.96715, 19.60789","022",POINT(390217.73086441966 4980243.802054399)
"20195",Историјски архив „Тимочка крајина” Зајечар,Historical Archive “Timočka Krajina” Zaječar,Архиви,,Николе Пашића 160,Зајечар,Зајечар,ЗАЈЕЧАРСКИ ОКРУГ,Регион Јужне и Источне Србије,"19","425 490; 420 285",,arhivzaj@mts.rs,http://www.arhivzajecar.org.rs/,Велибор Тодоров,Велибор Тодоров,Archive,архивы,Исторический архив „Тимочка краина” (Тимокский край) Заечар,档案馆,扎耶查尔“蒂莫池卡克拉伊那”历史档案馆,,43.90256,22.27092,"43.90256, 22.27092","019",POINT(602061.8276218419 4861835.488959646)
"20164",Историјски архив „Топлица” Прокупље,Historical Archive of Prokuplje,Архиви,,Пасјачка 2,Прокупље,Прокупље,ТОПЛИЧКИ ОКРУГ,Регион Јужне и Источне Србије,"27","329 546, 329-646",,arhiv@prokuplje.org.rs,http://arhivtoplice.org.rs/,Милан Стојановић,Милан Стојановић,Archive,архивы,Исторический архив „Топлица” Прокупле,档案馆,普罗库普列“托普利查”历史档案馆,,43.22718,21.5916,"43.22718, 21.5916","027",POINT(548042.3619868333 4786213.126759294)
"20162",Историјски архив Бела Црква,Historical Archive of Bela Crkva,Архиви,,Првог октобра 40,Бела Црква,Бела Црква,ЈУЖНО-БАНАТСКИ ОКРУГ,Регион Војводине,"13",851 283,,iarhivbc@gmail.com,http://www.arhivbc.rs/,Љиља Радоњић,Љиља Радоњић,Archive,архивы,Исторический архив Бела-Црква,档案馆,贝拉策尔克瓦历史档案馆,,44.90336,21.42454,"44.90336, 21.42454","013",POINT(533516.446924105 4972302.667892985)
"20185",Историјски архив Београда,Historical Archive of Belgrade,Архиви,,Палмира Тољатија 1,БЕОГРАД - Нови Београд,БЕОГРАД - Нови Београд,ГРАД БЕОГРАД,Београдски регион,"11","2606 336; 3015 150",,office@arhiv-beograda.org,www.arhiv-beograda.org,мр Драган Гачић,Бојан Драшкић,Archive,архивы,Исторический архив Белграда,档案馆,贝尔格莱德历史档案馆,,44.82602,20.41344,"44.82602, 20.41344","011",POINT(453630.4015021451 4963791.0489658145)
"20182",Историјски архив Бор,Historical Archive of Bor,Архиви,,Војске Југославије 18,Бор,Бор,БОРСКИ ОКРУГ,Регион Јужне и Источне Србије,"30",421 365,,,,Ненад Војиновић,"Александра Николић; Мила Шћопуловић",Archive,архивы,Исторический архив Бор,档案馆,波尔历史档案馆,,44.08317,22.09545,"44.08317, 22.09545","030",POINT(587704.1303963365 4881693.741397265)
"20190",Историјски архив Гњилане,Historical Archive of Gnjilane,Архиви,,Лоле Рибара 4/8 (кућа),Прокупље,Прокупље,ТОПЛИЧКИ ОКРУГ,Регион Јужне и Источне Србије,"27",333-288,,paune@medianis.net,,Јелена Пауновић,Јелена Пауновић,Archive,архивы,Исторический архив Гнилане,档案馆,格尼拉奈历史档案馆,,43.23936,21.60098,"43.23936, 21.60098","027",POINT(548794.3715837238 4787571.184787198)
"20174",Историјски архив Зрењанин,Historical Archive of Zrenjanin,Архиви,,Трг Слободе 10,Зрењанин,Зрењанин,СРЕДЊЕ-БАНАТСКИ ОКРУГ,Регион Војводине,"23","564 322; 510 925",,"arhivzrenjanin@gmail.com, cvetic.ruzica@gmail.com",www.arhivzrenjanin.org.rs,в. д. Марија Баста,в. д. Марија Баста,Archive,архивы,Исторический архив Зренянин,档案馆,兹雷尼亚宁历史档案馆,,45.38037,20.38969,"45.38037, 20.38969","023",POINT(452217.5729243655 5025387.242842122)
