id,naziv_ustanove,naziv_ustanove_eng,tip_ustanove,maticna_ustanova,ulica_broj,mesto,opstina,okrug,region,poz_broj,tel,mobil_tel,e_mail,website,direktor,kontakt_lice,tip_ustanove_eng,tip_ustanove_rus,ime_ustanova_rus,tip_ustanova_kina,ime_ustanova_kina,delete,latitude,longitude,coordinate,pozivni_broj,geometry
"20207",Jaвна библиотека Дољевац,Public Library Doljevac,Библиотеке,,Николе Тесле 28,Дољевац,Дољевац,НИШАВСКИ ОКРУГ,Регион Јужне и Источне Србије,"18",810 814,062 8040 915,n.bibliotekadoljevac@yahoo.com,http://www.bibliotekadoljevac.org/,Боги Митић,Братислав Насковић,Library,библиотеки,"Публичная библиотека, Долевац",图书馆,多列瓦茨公共图书馆,,43.19779,21.83381,"43.19779, 21.83381","018",POINT(567744.2326580604 4783116.85369342)
"23356",Библиотекa „Политика“ Крупањ,"Library ""Politika"" Krupanj",Библиотеке,Библиотека „Политика” Крупањ,Мачков камен 3,Крупањ,Крупањ,МАЧВАНСКИ ОКРУГ,Регион Шумадије и Западне Србије,"15",581- 203,,bibliotekapolitika@gmail.com,https://www.facebook.com/bibliotekapolitika/,Драгослава Остојић,Миољуб Лукић,Library,библиотеки,"Библиотека ""Политика"", Крупань",图书馆,库帕尼“政治”图书馆,,44.3638,19.3631,"44.3638, 19.3631","015",POINT(369567.1345303775 4913583.5400735615)
"22327",Библиотека - Центар за културу Кладово,Library - Cultural Center Kladovo,Библиотеке,Центар за културу Кладово,22. септембар 4,Кладово,Кладово,БОРСКИ ОКРУГ,Регион Јужне и Источне Србије,"19",808 146,,kulturakld@gmail.com,www.kulturakladovo.rs,Жаклина Николић,Жаклина Николић,Library,библиотеки,Библиотека Центр культуры Кладово,图书馆,克拉多沃文化中心图书馆,,44.61097,22.61048,"44.61097, 22.61048","019",POINT(627786.7071150655 4940997.004250582)
"20293","Библиотека ""Ержебет Јухас"", Бачка Топола",Public Library Bačka Topola,Библиотеке,,Главна 16,Бачка Топола,Бачка Топола,СЕВЕРНО-БАЧКИ ОКРУГ,Регион Војводине,"24",711 725,,bibltop@stcable.rs,www.bibltop.org,Ева Нараи Пеновац,,Library,библиотеки,"Библиотека ""Ержебет Юхас"", Бачка-Топола",图书馆,巴池托珀拉“艾尔热贝特·尤哈斯”图书馆,,45.81317,19.63278,"45.81317, 19.63278","024",POINT(393777.5127318475 5074198.615753164)
"20236",Библиотека „17. септембар” Мали Зворник,"Library ""17. septembar"" Mali Zvornik",Библиотеке,,Краља Петра I 26,Мали Зворник,Мали Зворник,МАЧВАНСКИ ОКРУГ,Регион Шумадије и Западне Србије,"15",471 298,,biblmzvornik@yahoo.com,www.malizvornik.org,Спасеновић Славојка,Спасеновић Славојка,Library,библиотеки,"Библиотека ""17-е сентября"" , Мали Зворник",图书馆,小兹沃尔尼克“十一月十七日”图书馆,,44.37525,19.10597,"44.37525, 19.10597","015",POINT(349107.52786428836 4915296.941117222)
"20283",Библиотека „Бранко Радичевић” Житиште,"Library ""Branko Radičević"" Žitište",Библиотеке,,Иве Лоле Рибара 1,Житиште,Житиште,СРЕДЊЕ-БАНАТСКИ ОКРУГ,Регион Војводине,"23",821 275,,biblioteka_zitiste@yahoo.com,www.biblioteka-zitiste.info,Весна Ћук,Весна Ћук,Library,библиотеки,"Библиотека ""Бранко Радичевич"", Житиште",图书馆,日蒂什泰“布兰科·拉蒂切维奇”图书馆,,45.48385,20.55286,"45.48385, 20.55286","023",POINT(465056.40217598283 5036799.515438168)
"20258",Библиотека „Браћа Настасијевић” Горњи Милановац,"Library ""Braća Nastasijević"" Gornji Milanovac",Библиотеке,,Трг кнеза Михаила 1,Горњи Милановац,Горњи Милановац,МОРАВИЧКИ ОКРУГ,Регион Шумадије и Западне Србије,"32","712 267; 713 324",,gmbiblioteka@gmail.com,www.bibliotekagm.com,в.д. Гордана Петковић,Горан Милићевић,Library,библиотеки,"Библиотека ""Братья Настасиевич"", Горни-Милановац",图书馆,上米拉诺瓦茨“布拉恰·纳斯塔西耶维奇”图书馆,,44.02419,20.45906,"44.02419, 20.45906","032",POINT(456648.2180456425 4874701.799901185)
"20213",Библиотека „Вук Караџић” Ковин,"Library ""Vuk Karadžić"" Kovin",Библиотеке,,Цара Лазара 100,Ковин,Ковин,ЈУЖНО-БАНАТСКИ ОКРУГ,Регион Војводине,"13","744 901; 744 902",,biblioteka.kovin@gmail.com,www.bibliotekakovin.rs,в.д. Емина Ђурашинов,/,Library,библиотеки,"Библиотека ""Вук Караджич"", Ковин",图书馆,科文“武克卡拉季奇“图书馆,,44.74122,20.97871,"44.74122, 20.97871","013",POINT(498314.48635504657 4954204.096828701)
"20308",Библиотека „Глигорије Возаревић” Сремска Митровица,"Library ""Gligorije Vozarević"" Sremska Mitrovica",Библиотеке,,Трг Ћире Милекића  3,Сремска Митровица,Сремска Митровица,СРЕМСКИ ОКРУГ,Регион Војводине,"22","621 130; 623 607",,zmatic@bgvsm.org.rs,www.bibliotekа-sm.rs,Живка Матић,Гордана Васелек,Library,библиотеки,"Библиотека ""Глигорие Возарoвич"", Сремска-Митровица",图书馆,斯雷姆斯卡米特洛维察“格里高利耶·沃扎洛维奇”图书馆,,44.96806,19.60745,"44.96806, 19.60745","022",POINT(390184.7689659125 4980345.487032847)
"20215",Библиотека „Димитрије Туцовић” Лазаревац,"Public Library ""Dimitrije Tucović"" Lazarevac",Библиотеке,,Kaрађорђева 57,БЕОГРАД - Лазаревац,БЕОГРАД - Лазаревац,ГРАД БЕОГРАД,Београдски регион,"11",8122 997,,biblioteka.lazarevac@gmail.com,www.bibliotekalazarevac.org,Ратко Вукелић,/,Library,библиотеки,"Библиотека ""Димитрие Туцович"", Лазаревац",图书馆,拉扎莱瓦茨“迪米特里耶·图措维奇”图书馆,,44.38336,20.25764,"44.38336, 20.25764","011",POINT(440866.47530516353 4914721.184873947)
"20222",Библиотека „Диша Атић` Владимирци,"Library ""Diša Antić"" Vladimirci",Библиотеке,,Светога Саве 26,Владимирци,Владимирци,МАЧВАНСКИ ОКРУГ,Регион Шумадије и Западне Србије,"15",514 487,,bibliotekavl@open.telekom.rs,www.bibliotekavladimirci.org.rs,Јасмина Којичић,Гашић Миодраг,Library,библиотеки,"Библиотека ""Диша Атич"", Владимирци",图书馆,弗拉迪米尔奇“杜莎·阿蒂奇“图书馆,,44.61698,19.78352,"44.61698, 19.78352","015",POINT(403486.0376392079 4941122.84322957)
"20249",Библиотека „др Вићентије Ракић” Параћин,"Public Library ""Dr Vićentije Rakić' Paraćin",Библиотеке,,Бранка Крсмановића 47,Параћин,Параћин,ПОМОРАВСКИ ОКРУГ,Регион Шумадије и Западне Србије,"35",573 435,,leposava.iv@gmail.com,www.nbvrakic.org.rs,Лепосава Иванковић,Лепосава Иванковић,Library,библиотеки,"Библиотека ""Д-р Вичентие Ракич"", Парачин",图书馆,帕拉钦“维切恩提耶·拉基奇博士”图书馆,,43.86201,21.40752,"43.86201, 21.40752","035",POINT(532748.1935770125 4856627.481128842)
"20298",Библиотека „Јанко Веселиновић” Коцељева,"Library ""Janko Veselinović"" Koceljeva",Библиотеке,,Немањина 70,Коцељева,Коцељева,МАЧВАНСКИ ОКРУГ,Регион Шумадије и Западне Србије,"15",556 635,,biblioteka_koc@mts.rs,www.koceljeva.gov.rs/index_fil,Небојша Остојић,Небојша Остојић,Library,библиотеки,"Библиотека ""Янко Веселинович"", Коцелева",图书馆,科策列瓦“杨科·维塞林诺维奇”图书馆,,44.46653,19.82051,"44.46653, 19.82051","015",POINT(406179.4370565632 4924367.934667101)
