id,naziv_ustanove,naziv_ustanove_eng,tip_ustanove,maticna_ustanova,ulica_broj,mesto,opstina,okrug,region,poz_broj,tel,mobil_tel,e_mail,website,direktor,kontakt_lice,tip_ustanove_eng,tip_ustanove_rus,ime_ustanova_rus,tip_ustanova_kina,ime_ustanova_kina,delete,latitude,longitude,coordinate,pozivni_broj,geometry
"22739",Arena Cinepleх,Arena Cineplex,Биоскопи,Предузеће Арт Виста доо,Пожешка 83а,БЕОГРАД - Чукарица,БЕОГРАД - Чукарица,ГРАД БЕОГРАД,Београдски регион,"11",3545 925,069 2309 012,office@artvista.rs,,,Небојша Ћетковић,cinema,кинотеатры,Арена Синеплекс,电影院,体育馆影院,,44.7749743,20.4116386,"44.7749743, 20.4116386","011",POINT(453446.9634704319 4958121.744410748)
"22319",Bioskop Fontana,Cinema Fontana,Биоскопи,,Париске комуне 13,БЕОГРАД - Нови Београд,БЕОГРАД - Нови Београд,ГРАД БЕОГРАД,Београдски регион,"11",2672 004,"0638424690",info@artandpopcorn.com,www.bioskopfontana.rs,Мирославa Могоровић,Тијана Вишњић,cinema,кинотеатры,Кинотеатр Фонтан,电影院,喷泉影院,,44.8255508,20.4067018,"44.8255508, 20.4067018","011",POINT(453097.3428363237 4963742.794883699)
"25205",Cineplexx Delta City,Cineplexx Delta City,Биоскопи,Cineplexx SRB,Јурија Гагарина 16,БЕОГРАД - Нови Београд,БЕОГРАД - Нови Београд,ГРАД БЕОГРАД,Београдски регион,"11",2203 400,,bioskop@cineplexx.rs,www.cineplexx.rs,,Невена Брашанац,cinema,кинотеатры,Синеплекс Дельта Сити,电影院,代尔塔影院,,44.8054325,20.40307,"44.8054325, 20.40307","011",POINT(452793.82286163163 4961510.080601461)
"22675",Cineplexx Kragujevac Plaza,Cineplexx Kragujevac Plaza,Биоскопи,Cineplexx SRB,Булевар Краљице Марије 23,Крагујевац,Крагујевац,ШУМАДИЈСКИ ОКРУГ,Регион Шумадије и Западне Србије,"34",6195 030,,bioskop@cinepleхх.rs,https://www.cineplexx.rs/center/cineplexx-kragujevac-plaza/,,Невена Брашанац,cinema,кинотеатры,Синеплекс Крагуевац Плаза,电影院,克拉古耶瓦茨广场影院,,44.0133973,20.8982607,"44.0133973, 20.8982607","034",POINT(491844.9776270233 4873365.881927341)
"25236",Cineplexx Niš,Cineplexx Niš,Биоскопи,Cineplexx SRB,Bulevar Medijana 21,Ниш,Ниш,НИШАВСКИ ОКРУГ,Регион Јужне и Источне Србије,"18",+381 18 300 340,+381 18 300 340,bioskop@cinepleхх.rs,https://www.cineplexx.rs/center/cineplexx-nis/,,Невена Брашанац,cinema,кинотеатры,,电影院,,,43.311319,21.937426,"43.311319, 21.937426","018",POINT(576021.3630857465 4795813.8045772035)
"25206",Cineplexx Ušće Shopping Center,Cineplexx Ušće Shopping Center,Биоскопи,Cineplexx SRB,Булевар Михајла Пупина 4,БЕОГРАД - Нови Београд,БЕОГРАД - Нови Београд,ГРАД БЕОГРАД,Београдски регион,"11",3113 370,,bioskop@cineplexx.rs,www.cineplexx.rs,,Невена Брашанац,cinema,кинотеатры,Синеплекс Устье Торговый центр,电影院,乌什切购物中心影院,,44.8154255,20.4346382,"44.8154255, 20.4346382","011",POINT(455298.0070318636 4962602.295029521)
"25249",CineStar Novi Sad,CineStar Novi Sad,Биоскопи,Blitz-CineStar d.o.o.,"BIG CEE Novi Sad, Sentandrejski put 11",Нови Сад,Нови Сад,ЈУЖНО-БАЧКИ ОКРУГ,Регион Војводине,"21",0901 011 011,,info.rs@blitzgroup.eu,www.cinestarcinemas.rs,Зоран Савић,Зоран Савић,cinema,кинотеатры,,电影院,,,45.274812,19.828592,"45.274812, 19.828592","021",POINT(408117.58739210095 5014146.652559052)
"25248",CineStar Pančevo,CineStar Pančevo,Биоскопи,Blitz-CineStar d.o.o.,"Aviv park, Miloša Obrenovića 12",Панчево,Панчево,ЈУЖНО-БАНАТСКИ ОКРУГ,Регион Војводине,"13",0901 011 011,,info.rs@blitzgroup.eu,www.cinestarcinemas.rs,Зоран Савић,Зоран Савић,cinema,кинотеатры,,电影院,,,44.867319,20.661074,"44.867319, 20.661074","013",POINT(473225.86698133865 4968267.260789764)
"25250",CineStar Zrenjanin,CineStar Zrenjanin,Биоскопи,Blitz-CineStar d.o.o.,"Aviv park, Bagljaš бб",Зрењанин,Зрењанин,СРЕДЊЕ-БАНАТСКИ ОКРУГ,Регион Војводине,"23",0901 011 011,,info.rs@blitzgroup.eu,www.cinestarcinemas.rs,Зоран Савић,Зоран Савић,cinema,кинотеатры,,电影院,,,45.378171,20.354898,"45.378171, 20.354898","023",POINT(449491.6790156287 5025164.18778711)
"22597",Tuckwood,Tuckwood Cineplex,Биоскопи,Društvo TUCKWOOD d.o.o.,Кнеза Милоша 7а,БЕОГРАД - Врачар,БЕОГРАД - Врачар,ГРАД БЕОГРАД,Београдски регион,"11",3236 517,064 8878 794,tuckwood@tuck.rs,www.tuck.rs,Петар Антић,Петар Антић,cinema,кинотеатры,Таквуд,电影院,塔克伍德,,44.8098227,20.4631822,"44.8098227, 20.4631822","011",POINT(457550.812953636 4961964.614594501)
