id,naziv_ustanove,naziv_ustanove_eng,tip_ustanove,maticna_ustanova,ulica_broj,mesto,opstina,okrug,region,poz_broj,tel,mobil_tel,e_mail,website,direktor,kontakt_lice,tip_ustanove_eng,tip_ustanove_rus,ime_ustanova_rus,tip_ustanova_kina,ime_ustanova_kina,delete,latitude,longitude,coordinate,pozivni_broj,geometry
"22025","„Железнице Србије“ а.д, Железнички музеј Београд",The Railway Museum in Belgrade,Музеји и галерије са фондом ,"„Железнице Србије“ а.д, Железнички музеј Београд",Немањина 6,БЕОГРАД - Савски венац,БЕОГРАД - Савски венац,ГРАД БЕОГРАД,Београдски регион,"11",3610 334,064 835 67 40,nenad.vojicic@srbrail.rs,http://www.zeleznicesrbije.com/zeleznicki-muzej/,мр Ненад Војичић,Александар Пфићер,,музеи и галереи с фондом,"„Железные дороги Сербии“ АО, Железнодорожный музей Белград",博物馆与基金展览馆,塞尔维亚铁路公司被恶搞人类的铁路博物馆,,44.80597,20.45824,"44.80597, 20.45824","011",POINT(457157.15353615413 4961539.235222819)
"25253",Mузеј -кућа ''Бора Станковић'',Muzej -kuća ''Bora Stanković'',Музеји и галерије са фондом ,Народни музеј Врање,Баба Златина 9,Врање,Врање,ПЧИЊСКИ ОКРУГ,Регион Јужне и Источне Србије,"17",423 073,062 423 789,muzejvranje@gmail.com,http://muzejvranje.rs/,Саша Стаменковић,Мирјана Јовановић,,музеи и галереи с фондом,,博物馆与基金展览馆,,,42.54929,21.90023,"42.54929, 21.90023","017",POINT(573910.559348906 4711158.85459772)
"22470",Археолошки локалитет Винча,Archaeological Site Vinča,Музеји и галерије са фондом ,Музеј града Београда,Бело Брдо 17,БЕОГРАД - Гроцка,БЕОГРАД - Гроцка,ГРАД БЕОГРАД,Београдски регион,"11",806 6340,,office@mgb.org.rs,http://www.mgb.org.rs/zbirke/arheologija/arheolosko-nalaziste-u-vinci,Татјана Корићанац,Марија Марчета,,музеи и галереи с фондом,Археологический комплекс Винча,博物馆与基金展览馆,文查考古遗址,,44.76188,20.6231,"44.76188, 20.62310","011",POINT(470171.7305195758 4956567.924233857)
"22467",Археолошки музеј Ђердапа у Кладову,Archaeological museum of Djerdap,Музеји и галерије са фондом ,Народни музеј у Београду,Краља Александра 2а,Кладово,Кладово,БОРСКИ ОКРУГ,Регион Јужне и Источне Србије,"19","803 900; 802 334; 802 335","0608075003",opdir@narodnimuzej.rs,http://www.narodnimuzej.rs/posetite-nas/#arheoloski-muzej-djerdapa,Бојана Борић Брешковић,Гордана Грабеж,,музеи и галереи с фондом,Археологический музей Джердапа в Кладово,博物馆与基金展览馆,克拉多沃杰尔达普考古博物馆,,44.61127,22.60936,"44.61127, 22.60936","019",POINT(627697.1806183874 4941028.574233877)
"22024",Војни музеј Београд,Military museum,Музеји и галерије са фондом ,,Калемегдан бб,БЕОГРАД - Стари град,БЕОГРАД - Стари град,ГРАД БЕОГРАД,Београдски регион,"11","3343 441; 3344 408",,vojnimuzej@mod.gov.rs,www.muzej.mod.gov.rs,пп Градимир Матић,пп Драган Нушић,,музеи и галереи с фондом,Военный музей Белград,博物馆与基金展览馆,贝尔格莱德军事博物馆,,44.82184,20.45012,"44.82184, 20.45012","011",POINT(456526.94172335695 4963306.445028645)
"22498",Вуков музеј Тршић,"Cultural Center ""Vuk Karadžic"" Loznica",Музеји и галерије са фондом ,Центар за културу „Вук Караџић” Лозница,село Тршић,Лозница,Лозница,МАЧВАНСКИ ОКРУГ,Регион Шумадије и Западне Србије,"15","868 310; 868 316",,ckvkaradzic@mts.rs,www.ckvkaradzic.org.rs,Снежана Нешковић Симић,Ана Чугуровић,,музеи и галереи с фондом,Музей Вука Тршич,博物馆与基金展览馆,特尔西奇武克博物馆,,44.4961253,19.2679396,"44.4961253, 19.2679396","015",POINT(362295.5735790895 4928437.794354147)
"21929",Галерија „Лазар Возаревић” Сремска Митровица,The Art Gallery Lazar Vozarevic,Музеји и галерије са фондом ,,Градски парк 4,Сремска Митровица,Сремска Митровица,СРЕМСКИ ОКРУГ,Регион Војводине,"22",621 492,,galerijasm@open.telekom.rs,http://lazarvozarevic.com/,Милан Маринковић,Милан Маринковић,,музеи и галереи с фондом,Галерея „Лазарь Возаревич” Сремска-Митровица,博物馆与基金展览馆,斯雷姆斯卡米特洛维察“拉扎尔·沃扎莱维奇”展览馆,,44.96809,19.60737,"44.96809, 19.60737","022",POINT(390178.5174917601 4980348.9280220345)
"21931",Галерија ликовне уметности поклон збирка Рајка Мамузића,The Gallery of Fine Arts - Gift Collection of Rajko Mamuzic,Музеји и галерије са фондом ,,Васе Стајића 1,Нови Сад,Нови Сад,ЈУЖНО-БАЧКИ ОКРУГ,Регион Војводине,"21",520 467,,glurm@mts.rs,www.galerijamamuzic.org.rs,v.d.Mileta Poštić,Љиљана Савић,,музеи и галереи с фондом,Галерея изобразительного искусства подаренная коллекция Райко Мамузича,博物馆与基金展览馆,莱科·玛姆兹奇绘画艺术礼品集展览馆,,45.25213,19.84527,"45.25213, 19.84527","021",POINT(409389.6889144341 5011607.987175816)
"21932",Галерија Матице српске,The Gallery of Matica srpska,Музеји и галерије са фондом ,,Трг галерија 1,Нови Сад,Нови Сад,ЈУЖНО-БАЧКИ ОКРУГ,Регион Војводине,"21",4899 000,069 1103 051,info@galerijamaticesrpske.rs,www.galerijamaticesrpske.rs,Др Тијана Палковљевић Бугарски,Јелена Огњановић,,музеи и галереи с фондом,Галерея Матицы сербской,博物馆与基金展览馆,塞尔维亚中心出版社展览馆,,45.25252,19.84566,"45.25252, 19.84566","021",POINT(409420.9117497133 5011650.875072331)
"21930",Галерија Милан Коњовић,Milan Konjović Gallery,Музеји и галерије са фондом ,,Трг Светог Тројства 2,Сомбор,Сомбор,ЗАПАДНО-БАЧКИ ОКРУГ,Регион Војводине,"25",412 563,069 4111 059,info@konjovic.rs,www.konjovic.rs,Петер Мраковић,Милена Рацков Ковачић,,музеи и галереи с фондом,Галерея Милана Конёвича,博物馆与基金展览馆,米兰·科尼奥维奇展览馆,,45.77208,19.11364,"45.77208, 19.11364","025",POINT(353336.88729934936 5070454.857701398)
