id,naziv_ustanove,naziv_ustanove_eng,tip_ustanove,maticna_ustanova,ulica_broj,mesto,opstina,okrug,region,poz_broj,tel,mobil_tel,e_mail,website,direktor,kontakt_lice,tip_ustanove_eng,tip_ustanove_rus,ime_ustanova_rus,tip_ustanova_kina,ime_ustanova_kina,delete,latitude,longitude,coordinate,pozivni_broj,geometry
"21833",Дом културе Пећ,Cultural Center Peć,Поливалентни центри за културу,,Карађорђева 192,Пећ,Пећ,ПЕЋКИ ОКРУГ,Регион Косовo и Метохијa,"39","21 709; 21 506",,,,,,Cultural Center,многофункциональные культурные центры,Дом культуры  Печ,多功能文化中心,佩奇文化之家,,42.658964,20.289472,"42.658964, 20.289472","039",POINT(441766.64516420505 4723189.145161328)
"21781",Dom kulture Doina Uzdin,"Cultural Center ""Doina"" Uzdin",Поливалентни центри за културу,,Тудор Владимиреску 168,Ковачица,Ковачица,ЈУЖНО-БАНАТСКИ ОКРУГ,Регион Војводине,"13",673 102,069 1444 393,ccdoinauzdin@yahoo.com,https://sr-rs.facebook.com/Dom-Kulture-Doina-Uzdin-747426538701487/,Ramjanc Marius,Ramjanc Marius,Cultural Center,многофункциональные культурные центры,Дом культуры Доина Уздин,多功能文化中心,乌兹丁多伊纳文化之家,,45.2040053,20.6214604,"45.2040053, 20.6214604","013",POINT(470271.352226913 5005682.898506715)
"21731",Kulturni centar Novi Pazar,Cultural Center Novi Pazar,Поливалентни центри за културу,,Stevana Nemanje 2,Нови Пазар,Нови Пазар,РАШКИ ОКРУГ,Регион Шумадије и Западне Србије,"20","315 878; 313 069",064 8186 271,domkulture_np@yahoo.com,www.kcnovipazar.com,Husein Memić,Elma Šabanović,Cultural Center,многофункциональные культурные центры,Культурный центр Нови-Пазар,多功能文化中心,新帕扎尔文化中心,,43.141049,20.518331,"43.141049, 20.518331","020",POINT(460829.8457659026 4776590.827196623)
"23700",Банатски културни центар „Ново Милошево“,Banat Cultural Center,Поливалентни центри за културу,,ЈНА 35,Нови Бечеј,Нови Бечеј,СРЕДЊЕ-БАНАТСКИ ОКРУГ,Регион Војводине,"23",781 552,,banatskikulturnicentar@gmail.com,www.banatskikulturnicentar.blogspot.com,,,Cultural Center,многофункциональные культурные центры,Банатский культурный центр „Ново Милошево“,多功能文化中心,巴纳特“新米洛舍沃”文化中心,,45.7253339,20.3058672,"45.7253339, 20.3058672","023",POINT(445986.39561950637 5063765.211870471)
"23707",Градски културни центар Ужице,Uzice City Cultural Centre,Поливалентни центри за културу,,Трг Светог Саве 11,Ужице,Ужице,ЗЛАТИБОРСКИ ОКРУГ,Регион Шумадије и Западне Србије,"31",601 534,,gkcuzice@gmail.com,www.gkcuzice.rs,,,Cultural Center,многофункциональные культурные центры,Городской культурный центр Ужице,多功能文化中心,乌日策城市文化中心,,43.8564662,19.8414909,"43.8564662, 19.8414909","031",POINT(406893.6736602337 4856583.284960843)
"21890","Гуарнериус, Центар лепих уметности Јована Колунџије Београд",Guarnerius Art Centre,Поливалентни центри за културу,,Џорџа Вашингтона 12,БЕОГРАД - Стари град,БЕОГРАД - Стари град,ГРАД БЕОГРАД,Београдски регион,"11","3346 807; 3345 237",,info@guarnerius.rs,www.guarnerius.rs,Миљана Колунџија,Јелена Папић,Cultural Center,многофункциональные культурные центры,"Гуарнериус, Центр изящных искусств Йована Колунджии Белград",多功能文化中心,贝尔格莱德“约万·科隆知亚”古阿尔内利乌斯美术中心,,44.8177918,20.4653913,"44.8177918, 20.4653913","011",POINT(457731.32066087227 4962848.700809215)
"21689",Дечији културни центар „Мајдан” Београд,Children’s Cultural Center Majdan,Поливалентни центри за културу,,Козјачка 3-5,БЕОГРАД - Савски венац,БЕОГРАД - Савски венац,ГРАД БЕОГРАД,Београдски регион,"11",2651 849,,office@dkcmajdan.org.rs,www.dkcmajdan.org.rs,Угљеша Дапчевић,Угљеша Дапчевић,Cultural Center,многофункциональные культурные центры,Детский культурный центр „Майдан” Белград,多功能文化中心,贝尔格莱德“马伊丹”儿童文化中心,,44.7940714,20.4445347,"44.7940714, 20.4445347","011",POINT(456064.2969849401 4960224.811032638)
"21692",Дечији културни центар Београд,Children's Cultural Center Belgrade,Поливалентни центри за културу,,Таковска 8,БЕОГРАД - Палилула,БЕОГРАД - Палилула,ГРАД БЕОГРАД,Београдски регион,"11","3242 011; 3242 012",,info@dkcb.rs,www.dkcb.rs,Оливера Јежина,Ивана Теодоровић,Cultural Center,многофункциональные культурные центры,Детский культурный центр Белград,多功能文化中心,贝尔格莱德儿童文化中心,,44.8113842,20.4676688,"44.8113842, 20.4676688","011",POINT(457906.72942215565 4962135.738833088)
"21811",Дечији културно-образовни и рекреативни центар Ниш,Children's Cultural-Educational Center Niš,Поливалентни центри за културу,,Iх бригаде 10,Ниш,Ниш,НИШАВСКИ ОКРУГ,Регион Јужне и Источне Србије,"18",514 748,,,https://www.decijicentarnis.com/,Александра Давинић,Александра Давинић,Cultural Center,многофункциональные культурные центры,Детский культурно-образовательный и физкультурно-реабилитационный центр Ниш,多功能文化中心,尼什儿童文化教育创新中心,,43.3160705,21.9033284,"43.3160705, 21.9033284","018",POINT(573250.4673494608 4796311.0112612145)
"21909",Дом културе „25.мај” Долово,"Cultural Center ""25.maj""",Поливалентни центри за културу,,Краља Петра Првог 36,Панчево,Панчево,ЈУЖНО-БАНАТСКИ ОКРУГ,Регион Војводине,"13","634006",,biblioteka.dolovo@gmail.com,https://sr-rs.facebook.com/dkdolovo/,Бранислав Павлов,Жаклина Мијалковић,Cultural Center,многофункциональные культурные центры,Дом культуры  „25-е мая” Долово,多功能文化中心,多洛沃“五月二十五日”文化之家,,44.8999198,20.8741223,"44.8999198, 20.8741223","013",POINT(490061.6557197721 4971840.56249811)
"21684",Дом културе „3. октобар”` Банатско Ново Село,"Cultural Center  ""Third October""  Banatsko Novo Selo",Поливалентни центри за културу,,Маршала Тита 73,Панчево,Панчево,ЈУЖНО-БАНАТСКИ ОКРУГ,Регион Војводине,"13",615 114,,dkbns@donet.rs,http://kultura-kovacica.com/pocetna/,Сорин Бољанац,Сорин Бољанац,Cultural Center,многофункциональные культурные центры,Дом культуры  „3-е октября” Банатско-Ново-Село,多功能文化中心,巴纳特新村“十月三日”文化之家,,44.990402,20.783569,"44.990402, 20.783569","013",POINT(482939.07883712807 4981906.966498285)
"21775",Дом културе „3. октобар” Ковачица,"Cultural Center  ""Third October"" Kovačica",Поливалентни центри за културу,,Маршала Тита 46,Ковачица,Ковачица,ЈУЖНО-БАНАТСКИ ОКРУГ,Регион Војводине,"13",661 112,062 8850 816,dkulture@gmail.com,http://www.bnselo.rs.sr/Dom%20kulture/dom_kulture_glavna.htm,Јан Марко,Јан Марко,Cultural Center,многофункциональные культурные центры,Дом культуры  „3-е октября” Ковачица,多功能文化中心,科瓦奇查“十月三日”文化之家,,45.1117304,20.6172689,"45.1117304, 20.6172689","013",POINT(469893.6193620565 4995433.594901208)
"21739",Дом културе „4. октобар” Банатски Брестовац,"Cultural Center ""Forth October"" Banatski Brestovac",Поливалентни центри за културу,,Панчевачка 4,Панчево,Панчево,ЈУЖНО-БАНАТСКИ ОКРУГ,Регион Војводине,"13",626 133,,,https://sr-rs.facebook.com/Dom-Kulture-Banatski-Brestovac-951854701574349/,Јованка Грујичић,Јованка Грујичић,Cultural Center,многофункциональные культурные центры,Дом культуры  „4-е октября” Банатски-Брестовац,多功能文化中心,巴纳塔布雷斯托瓦茨“十月四日”文化之家,,44.730929,20.7990469,"44.730929, 20.7990469","013",POINT(484087.8685306562 4953080.368244466)
"21784",Дом културе „Абдула Крашница” Прешево,"Cultural Center ""Abdula Krašnica"" Preševo",Поливалентни центри за културу,,15. новембра 90,Прешево,Прешево,ПЧИЊСКИ ОКРУГ,Регион Јужне и Источне Србије,"17","668 546; 660 326",,naser_nuredini@hotmail.com,http://www.kt.gov.rs/cr/articles/opstine/opstina-presevo/,Насер Нуредини,Насер Нуредини,Cultural Center,многофункциональные культурные центры,Дом культуры  „Абдула Крашница” Прешево,多功能文化中心,普莱舍沃“阿卜杜拉·科拉什尼查”文化之家,,42.3045569,21.65946,"42.3045569, 21.65946","017",POINT(554353.8252250359 4683802.270268874)
"21688",Дом културе „Влада Марјановић” Старо Село,Culture Organisation `Vlada Marjanovic` Staro selo,Поливалентни центри за културу,,Булевар ослобођења бб,Велика Плана,Велика Плана,ПОДУНАВСКИ ОКРУГ,Регион Јужне и Источне Србије,"26",841 257,,domkulture.staroselo@gmail.com,https://sr-rs.facebook.com/dom.selo/,Југослав Тодоровић,,Cultural Center,многофункциональные культурные центры,Дом культуры  „Влада Марьянович” Старо-Село,多功能文化中心,老村“弗拉达·马尔亚诺维奇”文化之家,,44.290665,21.089885,"44.290665, 21.089885","026",POINT(507171.1751556281 4904161.114541268)
"21898",Дом културе „Владимир М. Фијат” Самош,"Cultural Centre ""Vladimir M. Fijat"" Samos",Поливалентни центри за културу,,Маршала Тита 23,Ковачица,Ковачица,ЈУЖНО-БАНАТСКИ ОКРУГ,Регион Војводине,"13",675 323,,,http://vmfsamos.business.site/,Зорана Живанов,"Олгица Дежин, Саша Омаљев",Cultural Center,многофункциональные культурные центры,Дом культуры  „Владимир М. Фият” Самош,多功能文化中心,萨莫什“弗拉迪米尔·姆·菲亚特”文化之家,,45.2017009,20.7714811,"45.2017009, 20.7714811","013",POINT(482052.5188831804 5005382.607978798)
"21876",Дом културе „Вук Караџић” Омољица,Culture centre Omoljica,Поливалентни центри за културу,,Трг Светог Саве 1,Панчево,Панчево,ЈУЖНО-БАНАТСКИ ОКРУГ,Регион Војводине,"13",617 005,061 515 0981,dkomoljica@gmail.com,,Никола Ђукановић,Ксенија Јованов,Cultural Center,многофункциональные культурные центры,Дом культуры  „Вук Караджич” Омолица,多功能文化中心,奥姆利查“武克·卡拉季奇”文化之家,,44.758326,20.7349454,"44.758326, 20.7349454","013",POINT(479022.0099819591 4956138.218519104)
"21899",Дом културе „Вук Караџић” Рибари,"Cultural Center ""Vuk Karadzic"" Ribari",Поливалентни центри за културу,,Дринска бб,Шабац,Шабац,МАЧВАНСКИ ОКРУГ,Регион Шумадије и Западне Србије,"15",270 565,,,,Милета Попић,,Cultural Center,многофункциональные культурные центры,Дом культуры  „Вук Караджич” Рибари,多功能文化中心,利巴利“武克·卡拉季奇”文化之家,,44.719139,19.424763,"44.719139, 19.424763","015",POINT(375242.0070344318 4952957.949449549)
"21911",Дом културе „Вучје”,"Cultural Center ""Vucje""",Поливалентни центри за културу,,Косте Стаменковића бб,Лесковац,Лесковац,ЈАБЛАНИЧКИ ОКРУГ,Регион Јужне и Источне Србије,"16",3427 362,,dkvucje@gmail.com,https://sr-rs.facebook.com/Dom-Kulture-Vucje-1533791616885637/,Новица Живковић,Иван Гавриловић,Cultural Center,многофункциональные культурные центры,Дом культуры  „Вучье”,多功能文化中心,“乌契耶”文化之家,,42.8660331,21.9096029,"42.8660331, 21.9096029","016",POINT(574301.3397450324 4746339.416769933)
"21735",Дом културе „Доситеј Обрадовић”  Ириг,"Cultural Center ""Dositej Obradović""  Irig",Поливалентни центри за културу,,Рибарски трг 37,Ириг,Ириг,СРЕМСКИ ОКРУГ,Регион Војводине,"22",461 030,,,,Стеван Казимировић,Стеван Казимировић,Cultural Center,многофункциональные культурные центры,Дом культуры  „Досифей Обрадович”  Ириг,多功能文化中心,伊里格”多西泰伊·奥布拉多维奇“文化之家,,45.1011083,19.8569727,"45.1011083, 19.8569727","022",POINT(410070.55915495136 4994817.805675801)
"21702",Дом културе „Жарко Зрењанин” Иваново,"Cultural Center ""Žarko Zrenjanin"" Ivanovo",Поливалентни центри за културу,,Доже Ђерђа 62,Панчево,Панчево,ЈУЖНО-БАНАТСКИ ОКРУГ,Регион Војводине,"13",629 129,,"kalapislili@yahoo.com, marko.guran@gmail.com",,Марко Гуран,Марко Гуран,Cultural Center,многофункциональные культурные центры,Дом культуры  „Жарко Зренянин” Иваново,多功能文化中心,伊万诺沃“扎尔科·兹雷尼亚宁”文化之家,,44.7412615,20.6984913,"44.7412615, 20.6984913","013",POINT(476129.79382588074 4954252.696294579)
"21674",Дом културе „Јован Томић” Нова Варош,"Cultural Center ""Jovan Tomić"" Nova Varoš",Поливалентни центри за културу,,Трг војводе Петра Бојовића 5,Нова Варош,Нова Варош,ЗЛАТИБОРСКИ ОКРУГ,Регион Шумадије и Западне Србије,"33","61 130; 61 964",,domkulturenv@gmail.com,http://www.dknv.rs/,Жељко Томовић,Фарук Ибишбеговић,Cultural Center,многофункциональные культурные центры,Дом культуры  „Йован Томич” Нова-Варош,多功能文化中心,新瓦洛什“约万·托米奇”文化之家,,43.4592933,19.8074511,"43.4592933, 19.8074511","033",POINT(403524.0522045448 4812511.2469332535)
"21796",Дом културе „Јожеф Атила” Дебељача,"Cultural Center ""Jožef Atila""  Debeljača",Поливалентни центри за културу,,Трг Маршала Тита 18,Ковачица,Ковачица,ЈУЖНО-БАНАТСКИ ОКРУГ,Регион Војводине,"13",665 264,,dk.debeljaca@yahoo.de,http://www.dkdebeljaca.com/,Хорти Ласло,Хорти Ласло,Cultural Center,многофункциональные культурные центры,Дом культуры  „Йожеф Атила” Дебеляча,多功能文化中心,德贝利亚查“约热夫·阿提拉”文化之家,,45.0688488,20.5997608,"45.0688488, 20.5997608","013",POINT(468492.8302832416 4990676.584264881)
