id,naziv_ustanove,naziv_ustanove_eng,tip_ustanove,maticna_ustanova,ulica_broj,mesto,opstina,okrug,region,poz_broj,tel,mobil_tel,e_mail,website,direktor,kontakt_lice,tip_ustanove_eng,tip_ustanove_rus,ime_ustanova_rus,tip_ustanova_kina,ime_ustanova_kina,delete,latitude,longitude,coordinate,pozivni_broj,geometry
"21042","""Театар Мимарт"" Београд","""Theatre Mimart"" Beograd",Позоришта,,Гандијева 11,БЕОГРАД - Нови Београд,БЕОГРАД - Нови Београд,ГРАД БЕОГРАД,Београдски регион,"11",3176 188,063 8075 810,mimart_na@hotmail.com,www.teatarmimart.org.rs,Нела Антоновић,Нела Антоновић,theater,театры,"""Театр Мимарт"" Белград",剧院,贝尔格莱德“米马尔特剧院”,,44.8093178,20.3818696,"44.8093178, 20.3818696","011",POINT(451120.54232538695 4961954.201910684)
"21040",Dečje pozorište Subotica,Children`s Theatre  Subotica,Позоришта,,Парк Рајхл Ференца 12а,Суботица,Суботица,СЕВЕРНО-БАЧКИ ОКРУГ,Регион Војводине,"24",555 715,063 1077 734,decjepozoriste.su@mts.rs,www.suteatarzadecu.rs,Марта С. Ароксалаши,Андреа Хушњак,theater,театры,Детский театр Суботица,剧院,苏博蒂察儿童剧院,,46.1017888,19.6671057,"46.1017888, 19.6671057","024",POINT(396980.6731417493 5106220.558649863)
"21075",JУ Позориште „Бора Станковић” Врање,Bora Stankovic Theatre,Позоришта,,Народног хероја 1,Врање,Врање,ПЧИЊСКИ ОКРУГ,Регион Јужне и Источне Србије,"17","400009","0648872582",pozoristeborastankovic@gmail.com,www.pozoriste-vranje.rs,"Ненад Јовић, в.д.",Бојан Јовановић,theater,театры,ГУ театр „Бора Станкович” Вране,剧院,弗拉涅“波拉·斯坦科维奇”剧院公共机构,,42.5563048,21.8935374,"42.5563048, 21.8935374","017",POINT(573352.8648506318 4711931.966524915)
"21036",Opera&Theatre  Madlenianum Београд,Madlenianum - Scene Activities Firm,Позоришта,,Главна 32,БЕОГРАД - Земун,БЕОГРАД - Земун,ГРАД БЕОГРАД,Београдски регион,"11",3162 533,064.1951.869,mad.oper@madlenianum.rs,www.madlenianum.rs,др Бранка Радовић,Алекса Поповић,theater,театры,Опера и Театр Мадленианум Белград,剧院,贝尔格莱德玛德莱尼亚努姆歌剧话剧院,,44.8455118,20.4086733,"44.8455118, 20.4086733","011",POINT(453269.3338079042 4965959.009862191)
"22774",Slovačko pozorište VHV,Slovačko pozorište VHV,Позоришта,,Ћирила и Методија 11 /,Стара Пазова,Стара Пазова,СРЕМСКИ ОКРУГ,Регион Војводине,"22","310676",063 509 153,skushjs96@gmail.com,http://www.slovackizavod.org.rs/sr/pozoriste/scene/2001,/,Мирослав Кожек,theater,театры,Словацкий театр ВХВ,剧院,VHV斯洛伐克剧院,,44.9844048,20.1566936,"44.9844048, 20.1566936","022",POINT(433516.52305271866 4981563.856407114)
"22451","Агенција за извођачку уметност ДОДИР У ПОКРЕТУ, Театар „Додир” Аранђеловац","Agencija za izvođačku umetnost DODIR U POKRETU, Teatar „Dodir” Aranđelovac",Позоришта,,Кнеза Милоша 293,Аранђеловац,Аранђеловац,ШУМАДИЈСКИ ОКРУГ,Регион Шумадије и Западне Србије,"34","6741541",060 3456 010,teatardodir@gmail.com,,Весна Петровић,Драган Петровић Суреп,theater,театры,"Агентство исполнительного искусства ПРИКОСНОВЕНИЕ В ДВИЖЕНИИ, театр „Прикосновение” Аранджеловац",剧院,阿兰杰洛瓦茨艺术出版机构“多迪尔”剧院,,44.3078958,20.5547553,"44.3078958, 20.5547553","034",POINT(464488.0139024138 4906167.457288445)
"22786",Академско позориште - АКУД „Бранко Крсмановић”,"Academic Cultural and Artistic Society ""Branko Krsmanovic""",Позоришта,АКУД „Бранко Крсмановић” Београд,Балканска 4,БЕОГРАД - Стари град,БЕОГРАД - Стари град,ГРАД БЕОГРАД,Београдски регион,"11",3613 451,,office@krsmanovic.rs,www.krsmanovic.rs,Тања Малеванов,Михаило Лаптошевић,theater,театры,Академический театр - АКУД „Бранко Крсмановић”,剧院,阿库德”布兰科·科尔玛诺维奇“学术剧院,,44.8125055,20.4579032,"44.8125055, 20.4579032","011",POINT(457135.36004355014 4962265.3998868475)
"22778",Академско позориште СКЦ-а,Akademsko pozorište SKC-a,Позоришта,Студентски културни центар Крагујевац,Радоја Домановића 12,Крагујевац,Крагујевац,ШУМАДИЈСКИ ОКРУГ,Регион Шумадије и Западне Србије,"34",336 122,/,chicha@skckg.com,http://www.skckg.com,/,Радиша Радовановић Чича,theater,театры,Академический театр Студенческого культурного центра,剧院,大学生文化中心学术剧院,,44.0175764,20.9050163,"44.0175764, 20.9050163","034",POINT(492387.0146641806 4873829.400723206)
"20643",Градско позориште Бечеј,City Theatre Bečej,Позоришта,,Герберових 2,Бечеј,Бечеј,ЈУЖНО-БАЧКИ ОКРУГ,Регион Војводине,"21",6915 336,064 8959 305,pozorist@yahoo.com,http://www.pozoristebecej.rs/,Здравко Петровић,"Здравко Петровић, Сел Габриела",theater,театры,Городской театр Бечей,剧院,贝切伊城市剧院,,45.6156793,20.0494959,"45.6156793, 20.0494959","021",POINT(425892.44170385704 5051787.593727427)
"20939",Алексиначко аматерско позориште,Aleksinačko amatersko pozorište,Позоришта,,Партизанска 20,Алексинац,Алексинац,НИШАВСКИ ОКРУГ,Регион Јужне и Источне Србије,"18",802 584,064 20 87 988,milospaovic@yahoo.com,https://sr-rs.facebook.com/aleksinackoamatersko.pozoriste?directed_target_id=0,Милош Паовић,Милош Паовић,theater,театры,Алексинацкий любительский театр,剧院,阿莱克西纳茨业余剧院,,45.6632099,18.9781078,"45.6632099, 18.9781078","018",POINT(342493.76665103127 5058617.050183503)
"22776",Аматерско позориште,Amateur Theatre,Позоришта,КУД „Петефи Шандор” Купусина,Петефи Шандора 4,Апатин,Апатин,ЗАПАДНО-БАЧКИ ОКРУГ,Регион Војводине,"25",/,063 8027 269,kudpsme@citromail.hu,,,Pal Balog,theater,театры,Любительский театр,剧院,业余剧院,,45.672772,18.9773797,"45.672772, 18.9773797","025",POINT(342463.8843616082 5059680.820922832)
"22349",Аматерско позориште „Homo Ludens” Мионица,"Amateur Theatre ""Homo Ludens"" Mionica",Позоришта,Културни центар Мионица,Др Јове Алексића 12,Мионица,Мионица,КОЛУБАРСКИ ОКРУГ,Регион Шумадије и Западне Србије,"14","61 157; 62 270",/,kcmionica@gmail.com,www.misicevidani.org.rs,Аксентије Атић,Мирослав Трифуновић,theater,театры,Любительский театр „Хомо Луденс” Мионица,剧院,米奥尼查“霍莫·鲁登斯”业余剧院,,44.2523962,20.0794029,"44.2523962, 20.0794029","014",POINT(426505.4660740816 4900318.588024484)
