id,naziv_ustanove,naziv_ustanove_eng,tip_ustanove,maticna_ustanova,ulica_broj,mesto,opstina,okrug,region,poz_broj,tel,mobil_tel,e_mail,website,direktor,kontakt_lice,tip_ustanove_eng,tip_ustanove_rus,ime_ustanova_rus,tip_ustanova_kina,ime_ustanova_kina,delete,latitude,longitude,coordinate,pozivni_broj,geometry
"22045",Завод за заштиту природе Србије,Institute for Protection of Nature of Serbia,Заводи за заштиту споменика,,Др Ивана Рибара 91,БЕОГРАД - Нови Београд,БЕОГРАД - Нови Београд,ГРАД БЕОГРАД,Београдски регион,"11","2093 800; 2093 801; 2093 802; 066/ 381-480",,maja.radosavljevic@zzps.rs,www.zzps.rs,Ненад Ставретовић,Маја Радосављевић,,институты охраны памятников,Институт охраны природы Сербии,纪念碑保护机构,塞尔维亚自然保护机构,,44.80144,20.37151,"44.80144, 20.37151","011",POINT(450294.578571475 4961085.388604076)
"22043",Завод за заштиту споменика културе Ваљево,Institute for Protection of Cultural Monuments Valjevo,Заводи за заштиту споменика,,Милована Глишића 2,Ваљево,Ваљево,КОЛУБАРСКИ ОКРУГ,Регион Шумадије и Западне Србије,"14","222 689; 291 656; 291 655",,office@vaza.co.rs,www.vaza.co.rs,Весна Ћирић,Весна Ћирић,,институты охраны памятников,Институт охраны памятников культуры  Валево,纪念碑保护机构,瓦列沃文化雕像保护机构,,44.2675,19.88142,"44.26750, 19.88142","014",POINT(410722.5988315606 4902192.513261885)
"22044",Завод за заштиту споменика културе града Београда,City of Belgrade's Institure for Protection of Cultural Monuments,Заводи за заштиту споменика,,Калемегдан 14,БЕОГРАД - Стари град,БЕОГРАД - Стари град,ГРАД БЕОГРАД,Београдски регион,"11","3287 420, 3287 557",,office@belgradeheritage.com,http://beogradskonasledje.rs/,Милана Јочић,Лидија Котур,,институты охраны памятников,Институт охраны памятников культуры города Белграда,纪念碑保护机构,贝尔格莱德城市文化雕像保护机构,,44.82266,20.44872,"44.82266, 20.44872","011",POINT(456416.87667299836 4963398.283580575)
"22047",Завод за заштиту споменика културе Града Новог Сада,Zavod za zaštitu spomenika kulture Grada Novog Sada,Заводи за заштиту споменика,,Михајла Пупина 22/1,Нови Сад,Нови Сад,ЈУЖНО-БАЧКИ ОКРУГ,Регион Војводине,"21","557 060; 557 061",,zzskgns@sbb.rs,http://www.zzskgns.rs/,М.Сц.Мирослав Копања,Александра Зековић,,институты охраны памятников,Институт охраны памятников культуры города Нови-Сада,纪念碑保护机构,诺维萨德文城市文化雕像保护机构,,45.25382,19.85156,"45.25382, 19.85156","021",POINT(409885.93042432686 5011788.686432202)
"22039",Завод за заштиту споменика културе Зрењанин,Institute for Procetion of Cultual Heritage,Заводи за заштиту споменика,,Пупинова 14,Зрењанин,Зрењанин,СРЕДЊЕ-БАНАТСКИ ОКРУГ,Регион Војводине,"23",564 366,,,www.zrenjaninheritage.com,Игор Ковач,Светлана Попов,,институты охраны памятников,Институт охраны памятников культуры  Зренянин,纪念碑保护机构,兹雷尼亚宁文化雕像保护机构,,45.37974,20.39609,"45.37974, 20.39609","023",POINT(452718.11678482284 5025313.4739275)
"22041",Завод за заштиту споменика културе Крагујевац,Institute for Protection of Cultural Monuments Kragujevac,Заводи за заштиту споменика,,Крагујевачког октобра 184,Крагујевац,Крагујевац,ШУМАДИЈСКИ ОКРУГ,Регион Шумадије и Западне Србије,"34","335 595; 335 409;  302 412",,"herit.kg@eunet.rs, zavodnkd@eunet.rs; kgzavod@open.telekom.rs",http://www.kulturnonasledje.com/,Драган Минић,"Драган Минић,Славица Манојловић, Александра Стефановић",,институты охраны памятников,Институт охраны памятников культуры  Крагуевац,纪念碑保护机构,克拉古耶瓦茨文化雕像保护机构,,44.020068,20.896824,"44.020068, 20.896824","034",POINT(491730.7444837843 4874106.927190973)
"22035",Завод за заштиту споменика културе Краљево,Institute for Protection of Cultural Monuments Kraljevo,Заводи за заштиту споменика,,Цара Лазара 24,Краљево,Краљево,РАШКИ ОКРУГ,Регион Шумадије и Западне Србије,"36",231 866,,zzzskv@gmail.com,http://zzskv.rs/,Гордана Тошић,Гордана Тошић,,институты охраны памятников,Институт охраны памятников культуры  Кралево,纪念碑保护机构,克拉列沃文化雕像保护机构,,43.72491,20.68641,"43.72491, 20.68641","036",POINT(474742.32222322316 4841367.714478978)
"22046",Завод за заштиту споменика културе Ниш,Institute for Protection of Cultural Monuments Niš,Заводи за заштиту споменика,,Добричка 2,Ниш,Ниш,НИШАВСКИ ОКРУГ,Регион Јужне и Источне Србије,"18",523 412,,zzsknis@open.telekom.rs,http://www.zzsknis.rs/,в.д. директора Елена Васић Петровић,Небојша Босанац,,институты охраны памятников,Институт охраны памятников культуры  Ниш,纪念碑保护机构,尼什文化雕像保护机构,,43.32345,21.89306,"43.32345, 21.89306","018",POINT(572409.039091066 4797121.588644877)
"22034",Завод за заштиту споменика културе Панчево,Institute for Protection of Cultural Monuments Pančevo,Заводи за заштиту споменика,,Жарка Зрењанина 17/1,Панчево,Панчево,ЈУЖНО-БАНАТСКИ ОКРУГ,Регион Војводине,"13","351 472; 348 487",,zavod@panet.rs,http://www.zzskpancevo.org/,Душанка Антонијев Стајић,Јасмина Вујовић,,институты охраны памятников,Институт охраны памятников культуры  Панчево,纪念碑保护机构,潘切沃文化雕像保护机构,,44.86776,20.64271,"44.86776, 20.64271","013",POINT(471775.38169932493 4968322.46717697)
"22036",Завод за заштиту споменика културе Сремска Митровица,Institute for Protection of Cultural Monuments Sremska Mitrovica,Заводи за заштиту споменика,,Светог Димитрија 10,Сремска Митровица,Сремска Митровица,СРЕМСКИ ОКРУГ,Регион Војводине,"22","621 568; 612 708",,sm.zzsksm@neobee.net,http://zavodsm.rs/,љубиша Шулаја,љубиша Шулаја,,институты охраны памятников,Институт охраны памятников культуры  Сремска-Митровица,纪念碑保护机构,斯雷姆斯卡米特洛维察文化雕像保护机构,,44.96918,19.61047,"44.96918, 19.61047","022",POINT(390425.05639223894 4980465.817247916)
